"Prezime";"Ime";"Vrijeme";"Klasifier";"Kategorija";"Staza";"Kontrola";"Uspon"
"Puhariæ";"Roko";"0:27:11";"0";"M12";"1.88";"110";"7"
"Gobec";"Jan";"0:31:42";"0";"M12";"1.88";"110";"7"
"Cvetkoviæ";"Filip";"0:33:01";"0";"M12";"1.88";"110";"7"
"Gobec";"Timo";"0:43:39";"0";"M12";"1.88";"110";"7"
"Tkalec";"Vedran";"dnf";"3";"M12";"1.88";"110";"7"
"Ivkoviæ";"Luka";"0:41:04";"0";"M14";"2.46";"150";"8"
"Medaniæ";"David";"0:50:53";"0";"M14";"2.46";"150";"8"
"Janžek";"Gregor";"0:54:51";"0";"M14";"2.46";"150";"8"
"Tkalec";"Nikola";"0:55:27";"0";"M14";"2.46";"150";"8"
"Karloviæ";"Luka";"dnf";"3";"M14";"2.46";"150";"8"
"Malnar";"Patrik";"0:30:14";"0";"M16";"2.86";"150";"9"
"Mihaljeviæ";"Luka";"0:34:08";"0";"M16";"2.86";"150";"9"
"Borisavljeviæ";"Karlo";"0:37:38";"0";"M16";"2.86";"150";"9"
"Bahun";"Luka";"1:11:08";"0";"M20";"4.59";"375";"16"
"Perica";"Petar";"1:18:38";"0";"M20";"4.59";"375";"16"
"Janžek";"Lovro";"2:32:26";"0";"M20";"4.59";"375";"16"
"Ugljareviæ";"Tomislav";"dnf";"3";"M20";"4.59";"375";"16"
"Magerl";"Mislav";"dns";"3";"M20";"4.59";"375";"16"
"Štanfel";"Matjaž";"0:44:43";"0";"M21A";"5.65";"475";"15"
"Legac";"Lino";"0:54:03";"0";"M21A";"5.65";"475";"15"
"Razum";"Matija";"0:59:42";"0";"M21A";"5.65";"475";"15"
"Gobec";"Damir";"1:03:24";"0";"M21A";"5.65";"475";"15"
"Salopek";"Tihomir";"1:11:19";"0";"M21A";"5.65";"475";"15"
"Vukmanoviæ";"Mladen";"1:15:33";"0";"M21A";"5.65";"475";"15"
"Varnica";"Tomislav";"1:18:16";"0";"M21A";"5.65";"475";"15"
"Spasiæ";"Vladimir";"1:27:38";"0";"M21A";"5.65";"475";"15"
"Telišman";"Mario";"1:38:59";"0";"M21A";"5.65";"475";"15"
"Budi";"Franjo";"1:51:08";"0";"M21A";"5.65";"475";"15"
"Kaniski";"Tomislav";"dns";"3";"M21A";"5.65";"475";"15"
"Grbac";"Edi";"dns";"3";"M21A";"5.65";"475";"15"
"Jeliæ";"Ivor";"0:25:22";"0";"M21B";"2.54";"100";"7"
"Bertol";"Ivica";"0:32:01";"0";"M21B";"2.54";"100";"7"
"Jalšovec";"Nenad";"0:33:09";"0";"M21B";"2.54";"100";"7"
"Kezele";"Kristijan";"0:34:49";"0";"M21B";"2.54";"100";"7"
"Aniæ";"Nikola";"0:36:54";"0";"M21B";"2.54";"100";"7"
"Cvetkoviæ";"Robert";"0:42:29";"0";"M21B";"2.54";"100";"7"
"Puhariæ";"Samo";"0:46:17";"0";"M21B";"2.54";"100";"7"
"Opaliæ";"Boško";"0:46:50";"0";"M21B";"2.54";"100";"7"
"Petranoviæ";"Robert";"0:53:36";"0";"M21B";"2.54";"100";"7"
"Vukeliæ";"Bojan";"1:08:09";"0";"M35";"4.59";"375";"16"
"Delgado";"Francisco";"1:10:38";"0";"M35";"4.59";"375";"16"
"Sladiè";"Roman";"1:21:11";"0";"M35";"4.59";"375";"16"
"Lovrec";"Nenad";"0:32:55";"0";"M45";"3.09";"200";"11"
"Gobec";"Karlo";"0:36:49";"0";"M45";"3.09";"200";"11"
"Lukaèiæ";"Ivica";"0:48:29";"0";"M45";"3.09";"200";"11"
"Jeliæ";"Mladen";"0:52:40";"0";"M45";"3.09";"200";"11"
"Sopina";"Slavko";"1:18:08";"0";"M45";"3.09";"200";"11"
"Perica";"Mladen";"1:21:53";"0";"M45";"3.09";"200";"11"
"Janžek";"Dražen";"1:41:57";"0";"M45";"3.09";"200";"11"
"Pongrac";"Ivan";"0:37:39";"0";"M55";"2.86";"150";"9"
"Belaj";"Željko";"0:38:45";"0";"M55";"2.86";"150";"9"
"Vinko";"Branimir";"0:46:36";"0";"M55";"2.86";"150";"9"
"Cindriæ";"Marijan";"0:47:51";"0";"M55";"2.86";"150";"9"
"Jasprica";"Damir";"0:55:13";"0";"M55";"2.86";"150";"9"
"Matijašiæ";"Josip";"0:58:10";"0";"M55";"2.86";"150";"9"
"Turkalj";"Milan";"0:49:57";"0";"M65";"2.46";"150";"8"
"Božinoviæ";"Milan";"0:57:16";"0";"M65";"2.46";"150";"8"
"Èepelak";"Radovan";"1:00:30";"0";"M65";"2.46";"150";"8"
"Debic";"Mladen";"1:18:39";"0";"M65";"2.46";"150";"8"
"Branoviæ";"Stanislav";"1:21:04";"0";"M65";"2.46";"150";"8"
"Vidoviæ";"Branko";"1:54:45";"0";"M65";"2.46";"150";"8"
"Melmajer";"Nastasia";"0:49:12";"0";"OPEN";"1.88";"110";"7"
"Strmeèki";"Vibor";"1:03:09";"0";"OPEN";"1.88";"110";"7"
"Stupalo";"Vlatka";"1:03:48";"0";"OPEN";"1.88";"110";"7"
"Levaèiæ";"Lidija";"1:44:17";"0";"OPEN";"1.88";"110";"7"
"Popoviæ Budi";"Danijela";"dns";"3";"OPEN";"1.88";"110";"7"
"Spudiæ";"Valeria";"mp";"3";"OPEN";"1.88";"110";"7"
"Golubiæ";"Vlado";"mp";"3";"OPEN";"1.88";"110";"7"
"Lovrec";"Mia";"0:25:12";"0";"Ž12";"1.88";"110";"7"
"Košuljandiæ";"Iva";"1:26:16";"0";"Ž12";"1.88";"110";"7"
"Ivkoviæ";"Sara";"1:35:28";"0";"Ž12";"1.88";"110";"7"
"Pajèin";"Lana";"dnf";"3";"Ž12";"1.88";"110";"7"
"Gobec";"Lea Katarina";"0:29:47";"0";"Ž14";"2.06";"80";"9"
"Lovrec";"Iva";"0:37:01";"0";"Ž16";"2.54";"100";"7"
"Težak";"Dora";"0:49:41";"0";"Ž16";"2.54";"100";"7"
"Anja";"Bahun";"dns";"3";"Ž20";"3.09";"200";"11"
"Koèila";"Mihaela";"dns";"3";"Ž20";"3.09";"200";"11"
"Vukmanoviæ";"Vinka";"0:52:07";"0";"Ž21A";"4.51";"380";"14"
"Gobec";"Ivana";"1:02:26";"0";"Ž21A";"4.51";"380";"14"
"Štimac";"Linda";"1:12:25";"0";"Ž21A";"4.51";"380";"14"
"Petranoviæ";"Barbara";"1:21:24";"0";"Ž21A";"4.51";"380";"14"
"Žužiæ";"Sanja";"1:40:21";"0";"Ž21A";"4.51";"380";"14"
"Stepan";"Nikolina";"dns";"3";"Ž21A";"4.51";"380";"14"
"Orliæ";"Antonija";"dns";"3";"Ž21A";"4.51";"380";"14"
"Kružiæ";"Tea";"0:29:48";"0";"Ž21B";"2.06";"80";"9"
"Haramija";"Marija";"0:43:13";"0";"Ž21B";"2.06";"80";"9"
"Kasaš";"Irena";"0:44:04";"0";"Ž21B";"2.06";"80";"9"
"Vukeliæ";"Ana";"0:46:18";"0";"Ž35";"3.17";"250";"12"
