"prezime";"ime";"vrijeme";"klasifikator";"kategorija";"duzina";"uspon";"kontrola"
"Janžek";"Gregor";"2:26:28";0;"M14";"11.9";260;11
"Bratko";"Vinko";"2:36:57";0;"M14";"11.9";260;11
"Težak";"Karlo";"2:43:04";0;"M14";"11.9";260;11
"Skukan";"Filip";"2:46:59";0;"M14";"11.9";260;11
"Gobec";"Timo";"3:35:23";0;"M14";"11.9";260;11
"Tkalec";"Nikola";;1;"M14";"11.9";260;11
"Gobec";"Lea Katarina";"1:13:18";0;"Ž14";"10.3";195;8
"Težak";"Dora";"1:36:34";0;"Ž14";"10.3";195;8
"Lovrec";"Mia";"1:37:59";0;"Ž14";"10.3";195;8
"Perica";"Petar";"1:31:33";0;"M 15-18";"21.0";360;12
"Janžek";"Lovro";"3:05:35";0;"M 15-18";"21.0";360;12
"Mihaljeviæ";"Luka";;3;"M 15-18";"21.0";360;12
"Lovrec";"Iva";"2:01:57";0;"Ž 15-18";"16.6";270;10
"Vidoviè";"Iztok";"1:46:33";0;"M E";"28.6";510;14
"Berkovic";"Vedran";"1:49:46";0;"M E";"28.6";510;14
"Lovrec";"Nenad";"1:51:22";0;"M E";"28.6";510;14
"Andrejc";"Grega";"1:52:43";0;"M E";"28.6";510;14
"Penaviæ";"Ivan";"1:54:01";0;"M E";"28.6";510;14
"Dorotic";"Igor";"1:54:41";0;"M E";"28.6";510;14
"Allwinger";"Herwig";"2:06:26";0;"M E";"28.6";510;14
"Gobec";"Karlo";"2:13:29";0;"M E";"28.6";510;14
"Kotnik";"Luka";"2:25:18";0;"M E";"28.6";510;14
"Golec";"Krešimir";"2:25:59";0;"M E";"28.6";510;14
"Šaronja";"Željko";"2:40:37";0;"M E";"28.6";510;14
"Cindriæ";"Hrvoje";"3:22:21";0;"M E";"28.6";510;14
"Raj";"Grega";"1:59:35";3;"M E";"28.6";510;14
"Šumah";"Robert";"2:23:03";3;"M E";"28.6";510;14
"Pistor";"Matej";;1;"M E";"28.6";510;14
"Sever";"Dubravko";;1;"M E";"28.6";510;14
"Cigrovski";"Ivan";;1;"M E";"28.6";510;14
"Vrdoljak";"Paula";"1:48:23";0;"Ž E";"20.9";360;12
"Žužiæ";"Sanja";"1:56:38";0;"Ž E";"20.9";360;12
"Balažiè";"Petja";"2:06:35";0;"Ž E";"20.9";360;12
"Janžek";"Smiljana";"2:18:01";0;"Ž E";"20.9";360;12
"Raj";"Nastja";"2:21:09";0;"Ž E";"20.9";360;12
"Punek Gobec";"Neda";"2:21:18";0;"Ž E";"20.9";360;12
"Zavrl";"Maja";;2;"Ž E";"20.9";360;12
"Klariæ";"Darko";"1:23:42";0;"M kratka";"15.1";285;9
"Delgado";"Francisco";"1:28:01";0;"M kratka";"15.1";285;9
"Opaliæ";"Boško";"1:55:06";0;"M kratka";"15.1";285;9
"Tkalec";"Robert";"2:15:44";0;"M kratka";"15.1";285;9
"Težak";"Robert";;3;"M kratka";"15.1";285;9
"Gveriæ";"Ivan";;1;"M kratka";"15.1";285;9
"Markešiæ";"Borko";;1;"M kratka";"15.1";285;9
"Dobriæ";"Nives";"2:39:29";0;"Ž kratka";"11.9";260;11
"Cvitkoviæ";"Maja";;1;"Ž kratka";"11.9";260;11
"Janžek";"Dražen";"2:01:39";0;"M45";"19.5";320;11
"Mihaljeviæ";"Nenad";"2:10:24";0;"M45";"19.5";320;11
"Matijašiæ";"Josip";"2:12:15";0;"M45";"19.5";320;11
"Vodovnik";"Mirko";"2:16:20";0;"M45";"19.5";320;11
"Sokoloviæ";"Alida";"2:49:05";0;"M45";"19.5";320;11
"Perica";"Mladen";"1:31:25";3;"M45";"19.5";320;11
"Skukan";"Danko";"2:10:01";0;"OPEN";"10.3";195;8
