"Stno";"SI card";"Database Id";"Surname";"First name";"YB";"S";"Block";"nc";"Start";"Finish";"Time";"Classifier";"Club no.";"Cl.name";"City";"Nat";"Cl. no.";"Short";"Long";"Num1";"Num2";"Num3";"Text1";"Text2";"Text3";"Adr. name";"Street";"Line2";"Zip";"City";"Phone";"Fax";"EMail";"Id/Club";"Rented";"Start fee";"Paid";"Course no.";"Course";"km";"m";"Course controls";"Pl"
158;750723;"36913";"Ocvirk";"Edi";;"M";;0;"55:00";"1:12:13";"17:13";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;1
164;895109;"36919";"Razum";"Matija";;"M";;0;"19:00";"36:29";"17:29";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;2
138;895099;"36957";"Bijeliæ";"Vedran";;"M";;0;"46:00";"1:03:50";"17:50";0;6726;;"OK Bjelovar";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;3
154;700030;"36909";"Legac";"Lino";;"M";;0;"25:00";"43:08";"18:08";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;4
157;345947;"36912";"Markoviæ";"Frane";;"M";;0;"7:00";"26:44";"19:44";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;5
134;300745;"37079";"Èapeta";"Davor";;"M";;0;"13:00";"32:48";"19:48";0;6682;;"OK Kapela";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;6
143;767574;"36682";"Grbac";"Edi";;"M";;0;"52:00";"1:12:10";"20:10";0;6776;;"OK Torpedo";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;7
148;423983;"37014";"Životiæ";"Filip";;"M";;0;"40:00";"1:05:17";"25:17";0;6776;;"OK Torpedo";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;8
150;410651;"36905";"Budi";"Franjo";;"M";;0;"22:00";"48:42";"26:42";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;9
156;237558;"36911";"Leovac";"Josip";;"M";;0;"43:00";"1:10:32";"27:32";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;10
152;237593;"36907";"Cvetkoviæ";"Robert";;"M";;0;"31:00";"1:06:45";"35:45";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;11
180;446316;"37141";"Šeperiæ Grdiša";"Ivan";;"M";;0;"4:00";"41:39";"37:39";0;6874;;"OK Jelen";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;12
163;428003;"36918";"Puhariæ";"Samo";;"M";;0;"37:00";"1:24:56";"47:56";0;6847;;"OK Japetiæ";"CRO";6333;"M21";"M21";;;;;;;;;;;;;;;;0;"70,00";0;1;"M21";"3.2";60;18;13
