"prezime";"ime";"vrijeme";"klasifier";"kategorija";"duzina";"uspon";"kontrola"
"Štambuk";"Andro Vladimir";"9:48 ";0;"M12 ";"1.29";"15";"12"
"Puhariæ";"Roko";"12:26 ";0;"M12 ";"1.29";"15";"12"
"Greblièki";"Filip";"12:37 ";0;"M12 ";"1.29";"15";"12"
"Cvetkoviæ";"Filip";"12:43 ";0;"M12 ";"1.29";"15";"12"
"Gobec";"Jan";"19:17 ";0;"M12 ";"1.29";"15";"12"
"Skukan";"Ivan";"22:58 ";0;"M12 ";"1.29";"15";"12"
"Rubiniæ";"Tomislav";"24:22 ";0;"M12 ";"1.29";"15";"12"
"Korper";"Bruno";"29:38 ";0;"M12 ";"1.29";"15";"12"
"Gojmerac";"Petar";"39:09 ";0;"M12 ";"1.29";"15";"12"
"Ocvirk";"Pia";"9:12 ";0;"Ž12 ";"1.29";"15";"12"
"Tisljar";"Ana";"11:17 ";0;"Ž12 ";"1.29";"15";"12"
"Lovrec";"Mia";"12:23 ";0;"Ž12 ";"1.29";"15";"12"
"Gojmerac";"Lucija";"28:37 ";0;"Ž12 ";"1.29";"15";"12"
"Brezec";"Dea";"30:07 ";0;"Ž12 ";"1.29";"15";"12"
"Štambuk";"Zdenka Petra";"40:21 ";0;"Ž12 ";"1.29";"15";"12"
"Miljkoviæ";"Dora";" NEP ";1;"Ž12 ";"1.29";"15";"12"
"Mihaljeviæ";"Luka";"14:13 ";0;"M16 ";"2.07";"22";"17"
"Vujaniæ";"Josip";"16:59 ";0;"M16 ";"2.07";"22";"17"
"Borisavljeviæ";"Karlo";"18:59 ";0;"M16 ";"2.07";"22";"17"
"Vujaniæ";"Filip";"20:36 ";0;"M16 ";"2.07";"22";"17"
"Klasiæ";"Dominik";"22:20 ";0;"M16 ";"2.07";"22";"17"
"Tisljar";"Antun";"23:57 ";0;"M16 ";"2.07";"22";"17"
"Skukan";"Filip";"24:28 ";0;"M16 ";"2.07";"22";"17"
"Lehpamer";"Lovro";"40:36 ";0;"M16 ";"2.07";"22";"17"
"Mikulèiæ";"Ivor";"14:39 ";0;"M20 ";"2.44";"25";"20"
"Štambuk";"Mario";"15:18 ";0;"M20 ";"2.44";"25";"20"
"Štambuk";"Matej";"17:38 ";0;"M20 ";"2.44";"25";"20"
"Magerl";"Mislav";"20:29 ";0;"M20 ";"2.44";"25";"20"
"Vrbeta";"Anamaria";"13:54 ";0;"Ž16 ";"1.68";"20";"13"
"Lovrec";"Iva";"16:43 ";0;"Ž16 ";"1.68";"20";"13"
