"Prezime";"Ime";"Vrijeme";"Klasifikator";"Kratko";"km";"m/u";"KT staze"
"Gobec";"Timo";"28:38";0;"M12";"1.4";30;13
"Gobec";"Jan";"40:11";0;"M12";"1.4";30;13
"Klariæ";"Marko";"47:44";0;"M12";"1.4";30;13
"Ocvirk";"Pia";"9:35";0;"Ž12";"1.3";30;13
"Lovrec";"Mia";"16:36";0;"Ž12";"1.3";30;13
"Košuljandiæ";"Iva";"22:50";0;"Ž12";"1.3";30;13
"Jakopec";"Iva";"30:25";0;"Ž12";"1.3";30;13
"Ivkoviæ";"Sara";"37:13";0;"Ž12";"1.3";30;13
"Pajèin";"Lana";"45:12";0;"Ž12";"1.3";30;13
"Melmajer";"Nastasia";;1;"Ž12";"1.3";30;13
"Borisavljeviæ";"Karlo";"14:01";0;"M16";"1.8";35;14
"Ivkoviæ";"Luka";"16:13";0;"M16";"1.8";35;14
"Janžek";"Gregor";"16:46";0;"M16";"1.8";35;14
"Tkalec";"Nikola";"21:50";0;"M16";"1.8";35;14
"Dolic";"Igor";"26:33";0;"M16";"1.8";35;14
"Podoreški";"Zoran";"32:40";0;"M16";"1.8";35;14
"Vujaniæ";"Filip";;1;"M16";"1.8";35;14
"Vujaniæ";"Josip";;1;"M16";"1.8";35;14
"Vasiljeviæ";"Dejan";;1;"M16";"1.8";35;14
"Lovrec";"Iva";"14:59";0;"Ž16";"1.6";35;15
"Gobec";"Lea Katarina";"17:42";0;"Ž16";"1.6";35;15
"Vrbeta";"Anamaria";"20:39";0;"Ž16";"1.6";35;15
"Vereš";"Andrea";;1;"Ž16";"1.6";35;15
"Vukadinoviæ";"Aleksandra";;1;"Ž16";"1.6";35;15
"Martensson";"Henrik";"13:58";0;"M20";"2.6";40;21
"Janžek";"Lovro";;1;"M20";"2.6";40;21
"Ocvirk";"Edi";"16:12";0;"M21";"2.9";40;24
"Gobec";"Damir";"16:34";0;"M21";"2.9";40;24
"Bijeliæ";"Vedran";"17:11";0;"M21";"2.9";40;24
"Grbac";"Edi";"18:45";0;"M21";"2.9";40;24
"Pongrac";"Branimir";"18:52";0;"M21";"2.9";40;24
"Vukmanoviæ";"Mladen";"19:00";0;"M21";"2.9";40;24
"Varnica";"Tomislav";"20:22";0;"M21";"2.9";40;24
"Nordin";"Mattias";"22:28";0;"M21";"2.9";40;24
"Surjan";"Darko";"22:56";0;"M21";"2.9";40;24
"Budi";"Franjo";"29:00";0;"M21";"2.9";40;24
"Opaliæ";"Boško";"32:36";0;"M21";"2.9";40;24
"Bertol";"Ivica";"41:04";0;"M21";"2.9";40;24
"Gotal";"Mario";;1;"M21";"2.9";40;24
"Suban";"Damir";;1;"M21";"2.9";40;24
"Vukmanoviæ";"Vinka";"15:31";0;"Ž21";"2.6";40;21
"Stepan";"Nikolina";"15:34";0;"Ž21";"2.6";40;21
"Orliæ";"Antonija";"16:30";0;"Ž21";"2.6";40;21
"Gobec";"Ivana";"17:29";0;"Ž21";"2.6";40;21
"Žužiæ";"Sanja";"20:16";0;"Ž21";"2.6";40;21
"Tusiæ";"Anamaria";"22:20";0;"Ž21";"2.6";40;21
"Gobec";"Neda";"23:30";0;"Ž21";"2.6";40;21
"Dukiæ";"Višnja";"27:36";0;"Ž21";"2.6";40;21
"Žgela";"Marijana";"28:10";0;"Ž21";"2.6";40;21
"Haramija";"Marija";"29:27";0;"Ž21";"2.6";40;21
"Fredriksen";"Robert";"15:03";0;"M35";"2.6";40;21
"Žagar";"Krešimir";"17:53";0;"M35";"2.6";40;21
"Orehoci";"Robert";"19:25";0;"M35";"2.6";40;21
"Janžek";"Dražen";"21:26";0;"M35";"2.6";40;21
"Klariæ";"Darko";"21:31";0;"M35";"2.6";40;21
"Pongrac";"Ivan";"25:28";0;"M35";"2.6";40;21
"Lindtner";"Alf Inge";"36:11";0;"M35";"2.6";40;21
"Matijašiæ";"Josip";"47:17";0;"M35";"2.6";40;21
"Lovrec";"Nenad";"28:14";3;"M35";"2.6";40;21
"Jasprica";"Damir";"51:28";3;"M35";"2.6";40;21
"Ocvirk";"Eva";"14:57";0;"Ž35";"2.0";35;17
"Janžek";"Smiljana";"15:49";0;"Ž35";"2.0";35;17
"Cindriæ Perkoviæ";"Jasminka";"19:23";0;"Ž35";"2.0";35;17
"Ebenspanger";"Emilija";"19:31";0;"Ž35";"2.0";35;17
"Cvitkoviæ";"Maja";"20:45";0;"Ž35";"2.0";35;17
"Lovrec";"Darinka";"20:46";0;"Ž35";"2.0";35;17
"Èuljak Gross";"Mladenka";"21:37";0;"Ž35";"2.0";35;17
"Tusiæ";"Rozmari";"25:09";0;"Ž35";"2.0";35;17
"Karlsson";"John";"7:36";0;"OPEN";"1.3";25;10
"Pajèin";"Nikola";"10:28";0;"OPEN";"1.3";25;10
"Sedvall";"Margaretha";"31:42";0;"OPEN";"1.3";25;10
"Melmajer";"Biljana";"34:25";0;"OPEN";"1.3";25;10
"Popoviæ Budi";"Daniela";"37:24";0;"OPEN";"1.3";25;10
"Tkalec";"Vedran";"22:42";3;"OPEN";"1.3";25;10
