"prezime";"ime";"vrijeme";"klasifier";"Short";"duzina";"uspon";"kontrola"
"Štanfel";"Matjaž";"60:24";0;"M21A";8;470;23
"Ocvirk";"Edi";"76:49";0;"M21A";8;470;23
"Razum";"Matija";"78:31";0;"M21A";8;470;23
"Bijeliæ";"Vedran";"86:50";0;"M21A";8;470;23
"Jevševar";"Bojan";"90:36";0;"M21A";8;470;23
"Varnica";"Tomislav";"94:25";0;"M21A";8;470;23
"Vukmanoviæ";"Mladen";"102:52";0;"M21A";8;470;23
"Pongrac";"Branimir";"113:11";0;"M21A";8;470;23
"Suhina";"Vanja";"115:00";0;"M21A";8;470;23
"Gobec";"Damir";"120:31";0;"M21A";8;470;23
"Spasiæ";"Vladimir";"128:35";0;"M21A";8;470;23
"Gveriæ";"Ivan";"136:36";0;"M21A";8;470;23
"Oreškoviæ";"Marko";"156:29";0;"M21A";8;470;23
"Legac";"Lino";;1;"M21A";8;470;23
"Vukmanoviæ";"Vinka";"54:11";0;"Ž21A";8;305;13
"Lesjak";"Sonja";"67:22";0;"Ž21A";8;305;13
"Hribar";"Anica";"67:38";0;"Ž21A";8;305;13
"Ocvirk";"Eva";"70:27";0;"Ž21A";8;305;13
"Sršen";"Matea";"142:06";0;"Ž21A";8;305;13
"Orliæ";"Antonija";;1;"Ž21A";8;305;13
"Debic";"Mladen";"57:02";0;"M65";9;150;10
"Èepelak";"Radovan";"57:49";0;"M65";9;150;10
"Turkalj";"Milan";"65:34";0;"M65";9;150;10
"Branoviæ";"Stanislav";"74:02";0;"M65";9;150;10
"Božinoviæ";"Milan";"81:24";0;"M65";9;150;10
"Pongrac";"Ivan";"42:29";0;"M55";4;155;8
"Sakar";"Darko";"49:37";0;"M55";4;155;8
"Sopina";"Slavko";"51:29";0;"M55";4;155;8
"Cindriæ";"Marijan";"70:27";0;"M55";4;155;8
"Jasprica";"Damir";"84:26";0;"M55";4;155;8
"Matijašiæ";"Josip";"105:45";0;"M55";4;155;8
"Simon";"Borislav";;3;"M55";4;155;8
"Lovrec";"Nenad";"57:09";0;"M45";4;260;10
"Štambuk";"Dario";"62:12";0;"M45";4;260;10
"Perica";"Mladen";"71:34";0;"M45";4;260;10
"Sladiè";"Roman";"72:12";0;"M45";4;260;10
"Jeliæ";"Mladen";"77:35";0;"M45";4;260;10
"Gobec";"Karlo";"41:01";3;"M45";4;260;10
"Košèak";"Željko";"75:25";0;"M35";6;365;14
"Salopek";"Tihomir";"76:27";0;"M35";6;365;14
"Delgado";"Francisco";"88:30";0;"M35";6;365;14
"Suban";"Damir";"94:19";0;"M35";6;365;14
"Orehoci";"Robert";"97:10";0;"M35";6;365;14
"Vukeliæ";"Bojan";"112:55";0;"M35";6;365;14
"Habuš";"Ivan";"137:43";0;"M35";6;365;14
"Tišljar";"Ivo";;1;"M35";6;365;14
"Tkalec";"Vladimir";"42:31";0;"M21B";3;180;9
"Trivunoviæ";"Vlado";"45:17";0;"M21B";3;180;9
"Jakopoviæ";"Tomislav";"54:21";0;"M21B";3;180;9
"Životiæ";"Filip";"54:30";0;"M21B";3;180;9
"Bilic";"Ivan";"58:56";0;"M21B";3;180;9
"Tkalec";"Robert";"60:17";0;"M21B";3;180;9
"Opaliæ";"Boško";"63:37";0;"M21B";3;180;9
"Pajèin";"Nikola";"64:45";0;"M21B";3;180;9
"Cvetkoviæ";"Robert";"72:38";0;"M21B";3;180;9
"Crnkoviæ";"Miljenko";"78:24";0;"M21B";3;180;9
"Puhariæ";"Samo";"91:35";0;"M21B";3;180;9
"Aniæ";"Nikola";"91:59";0;"M21B";3;180;9
"Sovilj";"Dalibor";"104:52";0;"M21B";3;180;9
"Habjanec";"Goran";"122:57";0;"M21B";3;180;9
"Sever";"Dubravko";"125:52";0;"M21B";3;180;9
"Gulta";"Alex";"80:59";3;"M21B";3;180;9
"Pletikosa";"Dean";;3;"M21B";3;180;9
"Rajèeviæ";"Edo";;1;"M21B";3;180;9
"Šantiæ";"Domagoj";;1;"M21B";3;180;9
"Kovaèiæ";"Ivica";;1;"M21B";3;180;9
"Štambuk";"Matej";"55:30";0;"M20";8;305;13
"Perica";"Petar";"70:41";0;"M20";8;305;13
"Ivkoviæ";"Luka";"43:43 ";0;"M16";4;170;8
"Mihaljeviæ";"Luka";"50:50";0;"M16";4;170;8
"Borisavljeviæ";"Karlo";"51:35";0;"M16";4;170;8
"Tkalec";"Nikola";"63:49";0;"M16";4;170;8
"Eibek";"Mauro";;2;"M16";4;170;8
"Cvetkoviæ";"Filip";"30:28";0;"M14";2;110;8
"Puhariæ";"Roko";"32:39";0;"M14";2;110;8
"Tišljar";"Antun";"33:51";0;"M14";2;110;8
"Lehpamer";"Lovro";"36:35";0;"M14";2;110;8
"Karloviæ";"Luka";"49:58";0;"M14";2;110;8
"Kuèinac";"Matija";"62:46";0;"M14";2;110;8
"Letica";"Ivan";"73:51";0;"M14";2;110;8
"Jakopec";"Matej";"29:21";0;"M12";1;75;5
"Gobec";"Timo";"30:59";0;"M12";1;75;5
"Gobec";"Jan";"36:50";0;"M12";1;75;5
"Danjko";"Bruno";"42:55";0;"M12";1;75;5
"Benjak";"Petar";"43:05";0;"M12";1;75;5
"Fotak";"Bruno Josip";"48:22";0;"M12";1;75;5
"Tkalec";"Vedran";"51:17";0;"M12";1;75;5
"Koražija";"Nikša";;1;"M12";1;75;5
"Pejèinoviæ";"Luka";;1;"M12";1;75;5
"Fabek";"Branka";"49:12";0;"Ž45";9;150;10
"Ebenspanger";"Emilija";"51:53";0;"Ž45";9;150;10
"Vendler Èepelak";"Željka";"52:14";0;"Ž45";9;150;10
