"Surname";"First name";"Time";"Classifier";"Short";"km";"Course controls";"Pl"
"Štanfel";"Matjaž";"40:11";0;"M21A";"4.5";245;17
"Razum";"Matija";"51:36";0;"M21A";"4.5";245;17
"Legac";"Lino";"56:11";0;"M21A";"4.5";245;17
"Bijeliæ";"Vedran";"63:44";0;"M21A";"4.5";245;17
"Varnica";"Tomislav";"77:35";0;"M21A";"4.5";245;17
"Spasiæ";"Vladimir";"96:39";0;"M21A";"4.5";245;17
"Ocvirk";"Edi";"46:34";3;"M21A";"4.5";245;17
"Kadragiæ";"Zlatan";;3;"M21A";"4.5";245;17
"Oreškoviæ";"Marko";;1;"M21A";"4.5";245;17
"Berkoviæ";"Vedran";;1;"M21A";"4.5";245;17
"Vukmanoviæ";"Vinka";"46:49";0;"Ž21A";"3.7";210;15
"Žužiæ";"Sanja";"50:43";0;"Ž21A";"3.7";210;15
"Gobec";"Ivana";"55:18";0;"Ž21A";"3.7";210;15
"Ocvirk";"Eva";"56:17";0;"Ž21A";"3.7";210;15
"Orliæ";"Antonija";"56:33";0;"Ž21A";"3.7";210;15
"Sršen";"Matea";"77:05";0;"Ž21A";"3.7";210;15
"Božinoviæ";"Milan";"58:49";0;"M65";"2.2";105;10
"Branoviæ";"Stanislav";"69:09";0;"M65";"2.2";105;10
"Èepelak";"Radovan";"76:10";0;"M65";"2.2";105;10
"Debiæ";"Mladen";"89:40";0;"M65";"2.2";105;10
"Turkalj";"Milan";"91:36";0;"M65";"2.2";105;10
"Pongrac";"Ivan";"63:55";0;"M55";"3.2";180;13
"Belaj";"Željko";"75:52";0;"M55";"3.2";180;13
"Matijašiæ";"Josip";"100:34";0;"M55";"3.2";180;13
"Magušiæ";"Franjo";"62:10";3;"M55";"3.2";180;13
"Sopina";"Slavko";"69:55";0;"M55";"3.2";180;13
"Lovrec";"Nenad";"65:56";0;"M45";"3.4";195;17
"Štambuk";"Dario";"68:54";0;"M45";"3.4";195;17
"Gobec";"Karlo";"73:28";0;"M45";"3.4";195;17
"Perica";"Mladen";"77:36";0;"M45";"3.4";195;17
"Lukaèiæ";"Ivica";"85:21";0;"M45";"3.4";195;17
"Bogoviæ";"Marijan";"74:53";3;"M45";"3.4";195;17
"Sladiè";"Roman";"67:13";0;"M45";"3.4";195;17
"Krivièiæ";"Dragan";"69:05";0;"M45";"3.4";195;17
"Salopek";"Tihomir";"39:56";0;"M35";"3.7";210;15
