Mesto;Št. štev.;Tekmovalec;Kategorija;Klub;Država;Èas 1;;Èas;Èas+
1.;6;Babiæ Domagoj;M Sove;OK Sova;CRO;28:49;(1);28:49;
2.;1;Matkoviæ Dominik;M Sove;OK Sova;CRO;31:08;(2);31:08;+02:19
3.;7;Jakopec Matej;M Sove;OK Sova;CRO;33:17;(3);33:17;+04:28
;2;Merkaš Branimir;M Sove;OK Sova;CRO;dns;;disq;
1.;37;Gobec Timo;M12;Vihor;CRO;23:06;(1);23:06;
2.;36;Gobec Jan;M12;Vihor;CRO;24:28;(2);24:28;+01:22
3.;14;Pejèinoviæ Luka;M12;JAP;CRO;27:07;(3);27:07;+04:01
1.;60;Štambuk Andro Vladimir;M14;IME;CRO;22:31;(1);22:31;
2.;15;Lehpamer Lovro;M14;JAP;CRO;27:12;(2);27:12;+04:41
3.;16;Puhariæ Roko;M14;JAP;CRO;37:02;(3);37:02;+14:31
4.;17;Cvetkoviæ Filip;M14;JAP;CRO;38:10;(4);38:10;+15:39
5.;55;Považanj Borislav;M14;NES;SRB;48:10;(5);48:10;+25:39
;75;Tisljar Antun;M14;ORI;CRO;mp;;disq;
1.;8;Ivkoviæ Luka;M16;OK Sova;CRO;31:23;(1);31:23;
2.;39;Borisavljeviæ Karlo;M16;Vihor;CRO;33:51;(2);33:51;+02:28
3.;82;Malnar Patrik;M16;OKR;CRO;39:10;(3);39:10;+07:47
4.;38;Mihaljeviæ Luka;M16;Vihor;CRO;47:17;(4);47:17;+15:54
1.;61;Štambuk Matej;M20;IME;CRO;37:34;(1);37:34;
2.;29;Perica Petar;M20;BJE;CRO;41:42;(2);41:42;+04:08
3.;62;Štambuk Mario;M20;IME;CRO;57:53;(3);57:53;+20:19
1.;28;Razum Matija;M21A;JAP;CRO;34:03;(1);34:03;
2.;18;Ocvirk Edi;M21A;JAP;CRO;36:32;(2);36:32;+02:29
3.;30;Bijeliæ Vedran;M21A;BJE;CRO;38:18;(3);38:18;+04:15
4.;40;Varnica Tomislav;M21A;Vihor;CRO;46:34;(4);46:34;+12:31
5.;56;Palinkaš Saša;M21A;NES;SRB;47:14;(5);47:14;+13:11
6.;57;Vujasinoviæ Stevan;M21A;NES;SRB;48:18;(6);48:18;+14:15
7.;80;Milišiæ-Zeèeviæ Angel;M21A;BEXT;CRO;48:41;(7);48:41;+14:38
8.;31;Draušnik Ivan;M21A;BJE;CRO;52:39;(8);52:39;+18:36
9.;71;Spasiæ Vladimir;M21A;KAP;CRO;59:19;(9);59:19;+25:16
10.;42;Gobec Damir;M21A;Vihor;CRO;62:49;(10);62:49;+28:46
;81;Andraèiæ Zoran;M21A;BEXT;CRO;dnf;;disq;
;41;Cindriæ Hrvoje;M21A;Vihor;CRO;dns;;disq;
1.;58;Považanj Željko;M21B;NES;SRB;25:35;(1);25:35;
2.;21;Cvetkoviæ Robert;M21B;JAP;CRO;31:27;(2);31:27;+05:52
3.;20;Puhariæ Samo;M21B;JAP;CRO;49:35;(3);49:35;+24:00
;19;Telišman Mario;M21B;JAP;CRO;dns;;disq;
1.;32;Orehoci Robert;M35;BJE;CRO;31:41;(1);31:41;
2.;59;Škoriæ Zoran;M35;NES;SRB;31:46;(2);31:46;+00:05
3.;23;Suban Damir;M35;JAP;CRO;41:09;(3);41:09;+09:28
4.;22;Budi Franjo;M35;JAP;CRO;43:41;(4);43:41;+12:00
5.;44;Grgesina Vladimir;M35;Vihor;CRO;44:48;(5);44:48;+13:07
;43;Delgado Francisco;M35;Vihor;CRO;dns;;disq;
;66;Kaniški Tomislav;M35;Maksimir;CRO;dns;;disq;
;9;Žagar Vujadin;M35;OK Sova;CRO;dns;;disq;
;45;Gobec Karlo;M35;Vihor;CRO;disq;;disq;
1.;108;Štambuk Dario;M45;IME;CRO;32:53;(1);32:53;
2.;46;Lovrec Nenad;M45;Vihor;CRO;33:54;(2);33:54;+01:01
3.;33;Perica Mladen;M45;BJE;CRO;35:02;(3);35:02;+02:09
;67;Lukaèiæ Ivica;M45;Maksimir;CRO;mp;;disq;
1.;77;Jasprica Damir;M55;OKT;CRO;51:31;(1);51:31;
1.;112;Turkalj Milan;M65;IME;CRO;30:12;(1);30:12;
2.;65;Branoviæ Stanislav;M65;IME;CRO;30:57;(2);30:57;+00:45
3.;69;Èepelak Radovan;M65;Maksimir;CRO;34:34;(3);34:34;+04:22
4.;64;Božinoviæ Milan;M65;IME;CRO;59:35;(4);59:35;+29:23
;68;Debic Mladen;M65;Maksimir;CRO;mp;;disq;
1.;3;Sovilj Dalibor;OPEN;OK Sova;CRO;25:29;(1);25:29;
2.;83;Urbanc Patricija;OPEN;OKR;CRO;37:57;(2);37:57;+12:28
1.;4;Jovanoviæ Klementina;Ž Sove;OK Sova;CRO;27:23;(1);27:23;
2.;13;Ivkoviæ Sara;Ž Sove;OK Sova;CRO;29:29;(2);29:29;+02:06
3.;5;Koiæ Marija;Ž Sove;OK Sova;CRO;48:58;(3);48:58;+21:35
4.;12;Melmajer Nastasia;Ž Sove;OK Sova;CRO;54:45;(4);54:45;+27:22
5.;10;Babiæ Mihaela;Ž Sove;OK Sova;CRO;61:08;(5);61:08;+33:45
6.;11;Pajèin Lana;Ž Sove;OK Sova;CRO;64:21;(6);64:21;+36:58
1.;76;Tisljar Ana;Ž12;ORI;CRO;28:12;(1);28:12;
2.;24;Ivanjko Gabrijela;Ž12;JAP;CRO;111:39;(2);111:39;+83:27
1.;25;Ocvirk Pia;Ž14;JAP;CRO;20:30;(1);20:30;
2.;48;Lovrec Mia;Ž14;Vihor;CRO;23:25;(2);23:25;+02:55
3.;47;Gobec Lea Katarina;Ž14;Vihor;CRO;26:30;(3);26:30;+06:00
4.;78;Košuljandiæ Iva;Ž14;OKT;CRO;39:26;(4);39:26;+18:56
1.;51;Težak Dora;Ž16;Vihor;CRO;22:28;(1);22:28;
2.;34;Orehoci Roberta;Ž16;BJE;CRO;25:29;(2);25:29;+03:01
3.;52;Lovrec Iva;Ž16;Vihor;CRO;26:47;(3);26:47;+04:19
4.;53;Spudiæ Valeria;Ž16;Vihor;CRO;38:45;(4);38:45;+16:17
1.;73;Vukmanoviæ Vinka;Ž21A;KAP;CRO;33:30;(1);33:30;
2.;79;Stepan Nikolina;Ž21A;OKT;CRO;34:53;(2);34:53;+01:23
3.;27;Ocvirk Eva;Ž21A;JAP;CRO;37:34;(3);37:34;+04:04
4.;35;Orliæ Antonija;Ž21A;BJE;CRO;45:25;(4);45:25;+11:55
5.;84;Petranoviæ Barbara;Ž21A;OKR;CRO;54:04;(5);54:04;+20:34
;54;Sršen Matea;Ž21A;Vihor;CRO;dns;;disq;
1.;140;Koèila Mihaela;Ž21B;OKM;CRO;26:16;(1);26:16;
2.;74;Kasaš Irena;Ž21B;KAP;CRO;34:36;(2);34:36;+08:20
1.;49;Gobec Neda;Ž35;Vihor;CRO;34:25;(1);34:25;
2.;50;Lovrec Darinka;Ž35;Vihor;CRO;37:44;(2);37:44;+03:19
3.;72;Haramija Marija;Ž35;KAP;CRO;67:08;(3);67:08;+32:43
