"prezime";"ime";"Time";"Classifier";"kategorija";"staza";"uspon";"kontrola"
"Szuromi";"Áron";"0:14:43";0;"M12";"2.3";10;11
"Werner";"Bendegúz";"0:15:48";0;"M12";"2.3";10;11
"Gobec";"Jan";"0:17:16";0;"M12";"2.3";10;11
"Horváth";"Ákos";"0:20:07";0;"M12";"2.3";10;11
"Kodba";"Tin";"0:20:50";0;"M12";"2.3";10;11
"Danjko";"Bruno";"0:22:13";0;"M12";"2.3";10;11
"Kodba";"Vid";"0:30:19";0;"M12";"2.3";10;11
"Kukec";"Jura";"0:33:55";0;"M12";"2.3";10;11
"Husznai";"Gellért";"0:15:19";3;"M12";"2.3";10;11
"Kovács";"Barnabás";"0:13:54";0;"M14";"2.7";15;14
"Bence";"Turschl";"0:14:08";0;"M14";"2.7";15;14
"Gergõ";"Péri";"0:15:30";0;"M14";"2.7";15;14
"Štambuk";"Andro Vladimir";"0:16:23";0;"M14";"2.7";15;14
"Puhariæ";"Roko";"0:18:56";0;"M14";"2.7";15;14
"Vozár";"Mátyás";"0:20:39";0;"M14";"2.7";15;14
"Cvetkoviæ";"Filip";"0:21:32";0;"M14";"2.7";15;14
"Vonyo";"Peter Andras";"0:22:55";0;"M14";"2.7";15;14
"Jakopec";"Matej";"0:26:37";0;"M14";"2.7";15;14
"Težak";"Karlo";"0:18:47";3;"M14";"2.7";15;14
"Gobec";"Timo Vilim";"0:28:13";3;"M14";"2.7";15;14
"Považanj";"Borislav";;1;"M14";"2.7";15;14
"Mátyás";"Szuromi";"0:20:32";0;"M16";"3.3";15;16
"Ivkoviæ";"Luka";"0:23:27";0;"M16";"3.3";15;16
"Ormándi";"Lázár";"0:24:33";0;"M16";"3.3";15;16
"Kovács";"Mátyás";"0:26:17";0;"M16";"3.3";15;16
"Borisavljeviæ";"Karlo";"0:26:20";0;"M16";"3.3";15;16
"Gergõ";"Gyalus";"0:27:23";0;"M16";"3.3";15;16
"Tisljar";"Antun";"0:31:14";0;"M16";"3.3";15;16
"Ambrus";"András";"0:32:41";0;"M16";"3.3";15;16
"Miljkoviæ";"Borna";"0:24:10";3;"M16";"3.3";15;16
"Vasilev";"Vasko";;1;"M16";"3.3";15;16
"Rabrovaliev";"Riste";;1;"M16";"3.3";15;16
"Iliev";"Vasko";;1;"M16";"3.3";15;16
"Poliæ";"Ivan";"0:32:24";0;"M20";"5.5";30;26
"Štambuk";"Matej";"0:32:32";0;"M20";"5.5";30;26
"Péter";"Tóth";"0:35:04";0;"M20";"5.5";30;26
"Malnar";"Patrik";"0:37:25";0;"M20";"5.5";30;26
"Vrbiæ";"Josip";"0:39:21";0;"M20";"5.5";30;26
"Podboj";"Matej";"0:39:36";0;"M20";"5.5";30;26
"Perica";"Petar";"0:46:06";0;"M20";"5.5";30;26
"Rudec";"Ivan";"0:46:18";0;"M20";"5.5";30;26
"Gaziæ";"Ivan";"0:47:06";0;"M20";"5.5";30;26
"Janžek";"Lovro";"0:52:07";0;"M20";"5.5";30;26
"Vuzem";"Dino Thomas";"1:02:39";0;"M20";"5.5";30;26
"Henc";"Michael";"1:07:02";0;"M20";"5.5";30;26
"Matijeviæ";"Danilo";"1:12:00";0;"M20";"5.5";30;26
"Vujasinoviæ";"Stevan";"0:17:54";0;"M21B";"2.9";15;13
"Kersity";"András";"0:18:05";0;"M21B";"2.9";15;13
"Trivunoviæ";"Vladimir";"0:19:32";0;"M21B";"2.9";15;13
"Považanj";"Željko";"0:20:05";0;"M21B";"2.9";15;13
"Polanec";"Branko";"0:20:31";0;"M21B";"2.9";15;13
"Sovilj";"Dalibor";"0:20:34";0;"M21B";"2.9";15;13
"Lubomski";"Dariusz";"0:21:20";0;"M21B";"2.9";15;13
"Bertol";"Ivica";"0:26:23";0;"M21B";"2.9";15;13
"Jakopec";"Stjepan";"0:30:21";0;"M21B";"2.9";15;13
"Cvetkoviæ";"Robert";"0:38:00";0;"M21B";"2.9";15;13
"Andriæ";"Slavko";"1:24:22";3;"M21B";"2.9";15;13
"Kirov";"Riste";;1;"M21B";"2.9";15;13
"Kezele";"Kristijan";;1;"M21B";"2.9";15;13
"Štanfel";"Matjaž";"0:33:06";0;"M21A";"6.8";40;26
"Maksimoviæ";"Blažo";"0:33:41";0;"M21A";"6.8";40;26
"Zwiker";"Daniel";"0:35:01";0;"M21A";"6.8";40;26
"Razum";"Matija";"0:35:13";0;"M21A";"6.8";40;26
"Péter";"Vonyó";"0:36:12";0;"M21A";"6.8";40;26
"Bruno";"Andrea";"0:36:45";0;"M21A";"6.8";40;26
"Popoviæ";"Dejan";"0:37:10";0;"M21A";"6.8";40;26
"Ocvirk";"Edi";"0:37:28";0;"M21A";"6.8";40;26
"Bijeliæ";"Vedran";"0:37:44";0;"M21A";"6.8";40;26
"Maksimovic";"Nikola";"0:38:25";0;"M21A";"6.8";40;26
"Legac";"Lino";"0:39:15";0;"M21A";"6.8";40;26
"Gobec";"Damir";"0:40:08";0;"M21A";"6.8";40;26
"Zoltán";"Sziládi";"0:40:32";0;"M21A";"6.8";40;26
"Markoviæ";"Frane";"0:41:59";0;"M21A";"6.8";40;26
"Maroviæ";"Goran";"0:42:13";0;"M21A";"6.8";40;26
"Štambuk";"Mario";"0:43:42";0;"M21A";"6.8";40;26
"Gotal";"Mario";"0:43:49";0;"M21A";"6.8";40;26
"Varnica";"Tomislav";"0:43:53";0;"M21A";"6.8";40;26
"Miljkoviæ";"Damir";"0:46:31";0;"M21A";"6.8";40;26
"Spasiæ";"Vladimir";"0:48:16";3;"M21A";"6.8";40;26
"Nikola";"Toni";;1;"M21A";"6.8";40;26
"Bálinti";"Kornél";"0:31:23";0;"M35";"5.5";30;26
"Orehoci";"Robert";"0:33:47";0;"M35";"5.5";30;26
"Salopek";"Tihomir";"0:34:23";0;"M35";"5.5";30;26
"Pongrac";"Branimir";"0:35:01";0;"M35";"5.5";30;26
"Horváth";"Péter Brúnó";"0:39:00";0;"M35";"5.5";30;26
"Budi";"Franjo";"0:46:52";0;"M35";"5.5";30;26
"Košturiæ";"Marko";"0:49:15";0;"M35";"5.5";30;26
"Rozzi";"Alessio";"0:50:07";0;"M35";"5.5";30;26
"Gabor";"Pataki";;1;"M35";"5.5";30;26
"Kostov";"Toni";;1;"M35";"5.5";30;26
"Štambuk";"Dario";"0:28:20";0;"M45";"4.1";30;23
"Gajdos";"Gyorgy";"0:29:23";0;"M45";"4.1";30;23
"Chudoba";"Gregor";"0:30:40";0;"M45";"4.1";30;23
"Janžek";"Dražen";"0:30:47";0;"M45";"4.1";30;23
"Tóth";"Zsolt";"0:32:18";0;"M45";"4.1";30;23
"Gobec";"Karlo";"0:32:43";0;"M45";"4.1";30;23
"Bogoviæ";"Marijan";"0:32:56";0;"M45";"4.1";30;23
"Szõke";"Zoltán";"0:36:29";0;"M45";"4.1";30;23
"Perica";"Mladen";"0:37:53";0;"M45";"4.1";30;23
"Lukaèiæ";"Ivica";"0:52:46";0;"M45";"4.1";30;23
"Hatlak";"Željko";;1;"M45";"4.1";30;23
"Pongrac";"Ivan";"0:24:53";0;"M55";"3.3";15;16
"Sopina";"Slavko";"0:26:33";0;"M55";"3.3";15;16
"Nagy";"Balázs";"0:28:52";0;"M55";"3.3";15;16
"Belaj";"Željko";"0:28:56";0;"M55";"3.3";15;16
"Cindriæ";"Marijan";"0:34:40";0;"M55";"3.3";15;16
"Jasprica";"Damir";"0:39:47";0;"M55";"3.3";15;16
"Matijašiæ";"Josip";;1;"M55";"3.3";15;16
"Lipp";"József";"0:24:11";0;"M65";"2.9";15;13
"Turkalj";"Milan";"0:27:30";0;"M65";"2.9";15;13
"Kiss Dr.";"Endre";"0:29:57";0;"M65";"2.9";15;13
"Debic";"Mladen";"0:31:17";0;"M65";"2.9";15;13
"Èepelak";"Radovan";"0:36:31";0;"M65";"2.9";15;13
"Vidoviæ";"Branko";"0:41:40";0;"M65";"2.9";15;13
"Božinoviæ";"Milan";;1;"M65";"2.9";15;13
"Bodó";"László";;1;"M65";"2.9";15;13
"Pálfi";"Fanni";"0:13:38";0;"Ž12";"2.3";10;11
"Viniczai";"Hanga";"0:21:37";0;"Ž12";"2.3";10;11
"Virag Lara";"Pataki";"0:24:01";0;"Ž12";"2.3";10;11
"Pajèin";"Lana";"0:29:05";0;"Ž12";"2.3";10;11
"Berkec";"Silvija";;1;"Ž12";"2.3";10;11
"Štambuk";"Zdenka Petra";;1;"Ž12";"2.3";10;11
"Pataki";"Réka Dalida";"0:13:31";0;"Ž14";"2.4";10;13
"Ocvirk";"Pia";"0:14:27";0;"Ž14";"2.4";10;13
"Hanga";"Szuromi";"0:14:34";0;"Ž14";"2.4";10;13
"Horváth";"Sarolta";"0:16:14";0;"Ž14";"2.4";10;13
"Lovrec";"Mia";"0:18:07";0;"Ž14";"2.4";10;13
"Eszer";"Toth";"0:18:16";0;"Ž14";"2.4";10;13
"Orsolya";"Megyeri";"0:18:25";0;"Ž14";"2.4";10;13
"Ivkoviæ";"Sara";"0:32:02";0;"Ž14";"2.4";10;13
"Melmajer";"Nastasia";"0:35:00";0;"Ž14";"2.4";10;13
"Maðariæ";"Iva";"0:35:16";0;"Ž14";"2.4";10;13
"Dolenc";"Iva";"0:39:10";0;"Ž14";"2.4";10;13
"Tisljar";"Ana";"0:17:23";3;"Ž14";"2.4";10;13
"Iviæ";"Ema";"0:38:44";2;"Ž14";"2.4";10;13
"Judit";"Viniczai";;1;"Ž14";"2.4";10;13
"Lovrec";"Iva";"0:19:34";0;"Ž16";"2.9";15;13
"Težak";"Dora";"0:20:54";0;"Ž16";"2.9";15;13
"Ágnes";"Hamburger";"0:21:16";0;"Ž16";"2.9";15;13
"Košuljandiæ";"Iva";"0:29:59";0;"Ž16";"2.9";15;13
"Spudiæ";"Valeria";"0:30:00";0;"Ž16";"2.9";15;13
"Georgieva";"Ljiljana";;1;"Ž16";"2.9";15;13
"Dimova";"Marija";;1;"Ž16";"2.9";15;13
"Trenceva";"Ivana";;1;"Ž16";"2.9";15;13
"Sopova";"Marija";;1;"Ž16";"2.9";15;13
"Orehoci";"Roberta";"0:26:22";0;"Ž20";"3.3";20;19
"Gobec";"Lea Katarina";"0:27:35";0;"Ž20";"3.3";20;19
"Gyöngyvér";"Szabó";"0:28:04";0;"Ž20";"3.3";20;19
"Zsófia";"Ratinland";"0:33:05";0;"Ž20";"3.3";20;19
"Paviæ";"Mirja";"0:19:10";0;"Ž21B";"2.7";15;14
"Ivanèeviæ";"Ljubica";"0:20:52";0;"Ž21B";"2.7";15;14
"Kasaš";"Irena";"0:21:23";0;"Ž21B";"2.7";15;14
"Kušt";"Maja";"0:23:01";0;"Ž21B";"2.7";15;14
"Pravato";"Lorenza";"0:25:30";0;"Ž21B";"2.7";15;14
"Težak";"Ivana";"0:30:37";0;"Ž21B";"2.7";15;14
"Dragaš";"Jovana";"0:40:50";0;"Ž21B";"2.7";15;14
