"prezime";"ime";"uspon";"classifier";"kategorija";"staza";"uspon";"kontrola"
"Gobec";"Jan";"43:34";0;"M12";"1.95";70;9
"Danjko";"Bruno";"45:49";0;"M12";"1.95";70;9
"Skukan";"Ivan";"48:39";0;"M12";"1.95";70;9
"Kukec";"Jura";"50:11";0;"M12";"1.95";70;9
"Handanoviæ";"Marin";"51:38";0;"M12";"1.95";70;9
"Kodba";"Tin";"62:17";0;"M12";"1.95";70;9
"Sörös";"Máté";"77:11";0;"M12";"1.95";70;9
"Klariæ";"Marko";"85:59";0;"M12";"1.95";70;9
"Ištvan";"Jakov";"dns";0;"M12";"1.95";70;9
"Kodba";"Vid";"mp";3;"M12";"1.95";70;9
"Horváth";"Csongor";"26:10";0;"M14";"2.09";80;10
"Szinyéri";"Bence";"27:48";0;"M14";"2.09";80;10
"Puhariæ";"Roko";"28:49";0;"M14";"2.09";80;10
"Csertán";"András";"29:17";0;"M14";"2.09";80;10
"Fekete";"Sámuel";"32:58";0;"M14";"2.09";80;10
"Veroviæ";"Kristijan";"35:12";0;"M14";"2.09";80;10
"Takács";"Ticián";"35:18";0;"M14";"2.09";80;10
"Allwinger";"Herwig Jr.";"36:25";0;"M14";"2.09";80;10
"Cvetkoviæ";"Filip";"36:50";0;"M14";"2.09";80;10
"Máriás";"Dávid Márk";"43:34";0;"M14";"2.09";80;10
"Gobec";"Timo Vilim";"47:15";0;"M14";"2.09";80;10
"Težak";"Karlo";"53:11";0;"M14";"2.09";80;10
"Tkalec";"Vedran";"53:27";0;"M14";"2.09";80;10
"Benjak";"Petar";"57:51";0;"M14";"2.09";80;10
"Jakopec";"Matej";"60:59";0;"M14";"2.09";80;10
"Šumiga";"Kristijan";"66:51";0;"M14";"2.09";80;10
"Crnoš";"Marko";"78:42";0;"M14";"2.09";80;10
"Péri";"Gergõ";"dns";1;"M14";"2.09";80;10
"Kovács";"Elõd";"dns";1;"M14";"2.09";80;10
"Horányi";"Bence";"dns";1;"M14";"2.09";80;10
"Porgányi";"Márk";"29:38";0;"M16";"2.29";120;8
"Stanovnik";"Simon";"32:08";0;"M16";"2.29";120;8
"Ivkoviæ";"Luka";"35:58";0;"M16";"2.29";120;8
"Janžek";"Gregor";"39:02";0;"M16";"2.29";120;8
"Máriás";"Bence";"40:37";0;"M16";"2.29";120;8
"Erdõs";"Márton Dániel";"41:50";0;"M16";"2.29";120;8
"Štambuk";"Andro Vladimir";"42:15";0;"M16";"2.29";120;8
"Tišljar";"Antun";"45:22";0;"M16";"2.29";120;8
"Borisavljeviæ";"Karlo";"51:05";0;"M16";"2.29";120;8
"Maloševac";"Karlo";"58:05";0;"M16";"2.29";120;8
"Fekete";"Ágoston";"62:17";0;"M16";"2.29";120;8
"Tkalec";"Nikola";"dnf";1;"M16";"2.29";120;8
"Štambuk";"Matej";"60:28";0;"M20";"3.71";180;13
"Mihaljeviæ";"Luka";"63:44";0;"M20";"3.71";180;13
"Perica";"Petar";"66:42";0;"M20";"3.71";180;13
"Janžek";"Lovro";"108:04";0;"M20";"3.71";180;13
"Èubra";"Nebojša";"162:26";0;"M20";"3.71";180;13
"Kiss";"Gábor";"19:26";0;"M21B";"2.19";120;11
"Kiss";"Péter";"20:57";0;"M21B";"2.19";120;11
"Molnár";"Barnabás";"20:58";0;"M21B";"2.19";120;11
"Illés";"Péter";"22:02";0;"M21B";"2.19";120;11
"Jeliæ";"Ivor";"22:13";0;"M21B";"2.19";120;11
"Lénárt";"Dániel";"25:21";0;"M21B";"2.19";120;11
"Pleše";"Danko";"26:41";0;"M21B";"2.19";120;11
"Nemes";"Noel";"27:29";0;"M21B";"2.19";120;11
"Rajmund";"Domán";"28:03";0;"M21B";"2.19";120;11
"Polanec";"Branko";"28:59";0;"M21B";"2.19";120;11
"Bolfan";"Denijel";"29:01";0;"M21B";"2.19";120;11
"Tkalec";"Robert";"29:55";0;"M21B";"2.19";120;11
"Cvetkoviæ";"Robert";"43:11";0;"M21B";"2.19";120;11
"Kukec";"Boris";"44:46";0;"M21B";"2.19";120;11
"Hribar";"Andraz";"45:40";0;"M21A";"4.22";250;17
"Štanfel";"Matjaž";"46:56";0;"M21A";"4.22";250;17
"Legac";"Lino";"49:01";0;"M21A";"4.22";250;17
"Ocvirk";"Edi";"55:42";0;"M21A";"4.22";250;17
"Boyadzhiev";"Ivan";"59:31";0;"M21A";"4.22";250;17
"Markoviæ";"Frane";"61:02";0;"M21A";"4.22";250;17
"Koppert";"Axel";"63:21";0;"M21A";"4.22";250;17
"Bijeliæ";"Vedran";"63:22";0;"M21A";"4.22";250;17
"Tušar";"Peter";"64:26";0;"M21A";"4.22";250;17
"Gobec";"Damir";"64:28";0;"M21A";"4.22";250;17
"Spasiæ";"Vladimir";"65:04";0;"M21A";"4.22";250;17
"Varnica";"Tomislav";"77:32";0;"M21A";"4.22";250;17
"Maroviæ";"Goran";"91:01";0;"M21A";"4.22";250;17
"Razum";"Matija";"mp";1;"M21A";"4.22";250;17
"Košturiæ";"Marko";"mp";1;"M21A";"4.22";250;17
"Kaniški";"Tomislav";"35:07";0;"M35";"3.09";180;12
"Jevševar";"Bojan";"36:36";0;"M35";"3.09";180;12
"Salopek";"Tihomir";"37:01";0;"M35";"3.09";180;12
"Sárecz";"Lajos";"37:44";0;"M35";"3.09";180;12
"Orehoci";"Robert";"39:24";0;"M35";"3.09";180;12
"Pongrac";"Branimir";"39:35";0;"M35";"3.09";180;12
"Kenda";"Klemen";"43:04";0;"M35";"3.09";180;12
"Delgado";"Pako";"52:24";0;"M35";"3.09";180;12
"Banek";"Emil";"67:10";0;"M35";"3.09";180;12
"Vukmanoviæ";"Mladen";"dnf";3;"M35";"3.09";180;12
"Vukeliæ";"Bojan";"dns";1;"M35";"3.09";180;12
"Habuš";"Ivan";"dns";1;"M35";"3.09";180;12
"Srpak";"Božo";"dns";1;"M35";"3.09";180;12
"Allwinger";"Herwig";"22:04";0;"M45";"2.19";120;11
"Scheikl";"Gottfried";"22:34";0;"M45";"2.19";120;11
"Brenner";"Heimo";"23:31";0;"M45";"2.19";120;11
"Horváth";"Sándor";"25:01";0;"M45";"2.19";120;11
"Bogoviæ";"Marijan";"25:31";0;"M45";"2.19";120;11
"Mihály";"Zoboki";"25:44";0;"M45";"2.19";120;11
"Štambuk";"Dario";"27:29";0;"M45";"2.19";120;11
"Lovrec";"Nenad";"27:47";0;"M45";"2.19";120;11
"Gobec";"Karlo";"28:50";0;"M45";"2.19";120;11
"Németh";"Zsolt";"28:59";0;"M45";"2.19";120;11
"Šumeèki";"Janez";"30:27";0;"M45";"2.19";120;11
"Klariæ";"Darko";"32:49";0;"M45";"2.19";120;11
"Walch";"Christian";"32:52";0;"M45";"2.19";120;11
"Benjak";"Franjo";"33:01";0;"M45";"2.19";120;11
"Jeliæ";"Mladen";"34:24";0;"M45";"2.19";120;11
"Raškaj";"Darko";"35:25";0;"M45";"2.19";120;11
