,,vrijeme,klasifier,kategorija,staza,uspon,kontrola
Baumholczer,Máté,67:34,0,M21A,"11,39",0,19
Štanfel,Matjaž,69:22,0,M21A,"11,39",0,19
Piltaver,Jaka,74:13,0,M21A,"11,39",0,19
Péter,Vonyó,79:01,0,M21A,"11,39",0,19
Turcsán,Gábor,84:17,0,M21A,"11,39",0,19
Werner,Péter,85:08,0,M21A,"11,39",0,19
Ocvirk,Edi,87:46,0,M21A,"11,39",0,19
Štambuk,Matej,90:24,0,M21A,"11,39",0,19
Gobec,Damir,97:08,0,M21A,"11,39",0,19
Štambuk,Mario,94:01,0,M21A,"11,39",0,19
Marković,Frane,105:26,0,M21A,"11,39",0,19
Spasić,Vladimir,104:34,0,M21A,"11,39",0,19
Varnica,Tomislav,100:48,0,M21A,"11,39",0,19
Nikola,Toni,124:32,0,M21A,"11,39",0,19
Milišić-Zečević,Angel,118:42,0,M21A,"11,39",0,19
Razum,Matija,,3,M21A,"11,39",0,19
Péley,Dorottya,50:23,0,Ž21A,"6,5",0,10
Kovács,Filoména,51:28,0,Ž21A,"6,5",0,10
Ocvirk,Eva,65:54,0,Ž21A,"6,5",0,10
Vukmanović,Vinka,75:07,0,Ž21A,"6,5",0,10
Orlić,Antonija,64:59,0,Ž21A,"6,5",0,10
Gobec,Ivana,72:12,0,Ž21A,"6,5",0,10
Pavić,Mirja,71:02,0,Ž21A,"6,5",0,10
Tomažin,Urša,83:36,0,Ž21A,"6,5",0,10
Leljak,Nevija,89:50,0,Ž21A,"6,5",0,10
Krznar,Kristina,89:22,0,Ž21A,"6,5",0,10
Žužić,Sanja,100:02,0,Ž21A,"6,5",0,10
Kovaljesko,Monika,107:59,0,Ž21A,"6,5",0,10
Kočila,Mihaela,93:26,0,Ž21A,"6,5",0,10
Sršen,Matea,90:00,0,Ž21A,"6,5",0,10
Lara Pataki,Virág,21:01,0,Ž12,"2,25",0,8
Viniczai,Hanga,25:27,0,Ž12,"2,25",0,8
Werner,Boróka,36:58,0,Ž12,"2,25",0,8
Lesjak,Jelena,62:42,0,Ž12,"2,25",0,8
Petra,Zdenka,88:42,0,Ž12,"2,25",0,8
Mayer,Luna,47:32,0,Ž12,"2,25",0,8
Szuromi,Áron,18:05,0,M12,"2,25",0,8
Jevševar,Martin,31:35,0,M12,"2,25",0,8
Škrinjar,Vili,35:00,0,M12,"2,25",0,8
Ištvan,Jakov,51:48,0,M12,"2,25",0,8
Pavlić,Tin,84:11,0,M12,"2,25",0,8
Mandić,Vjeko,,3,M12,"2,25",0,8
Kovács,Gréta,35:24,0,Ž14,"3,47",0,11
Viniczai,Judit,38:18,0,Ž14,"3,47",0,11
Pálfi,Fanni,37:10,0,Ž14,"3,47",0,11
Tišljar,Ana,39:25,0,Ž14,"3,47",0,11
Pajčin,Lana,102:57,0,Ž14,"3,47",0,11
Jakopec,Iva,94:08,0,Ž14,"3,47",0,11
Škugor,Hana,100:01,0,Ž14,"3,47",0,11
Dolenc,Iva,,3,Ž14,"3,47",0,11
Mađarić,Iva,,3,Ž14,"3,47",0,11
Vozár,Mátyás,46:25,0,M14,"4,48",0,14
Toth,Lukach,48:52,0,M14,"4,48",0,14
Gobec,Jan,55:42,0,M14,"4,48",0,14
Kukec,Jura,71:39,0,M14,"4,48",0,14
Handanović,Marin,80:38,0,M14,"4,48",0,14
Werner,Bendegúz,85:35,0,M14,"4,48",0,14
Szuhán,Gábor,82:39,0,M14,"4,48",0,14
Danjko,Bruno,101:13,0,M14,"4,48",0,14
Kodba,Vid,61:55,0,M14,"4,48",0,14
Kodba,Tin,,3,M14,"4,48",0,14
Szuromi,Hanga,28:15,0,Ž16,"3,7",0,9
Dalida Pataki,Réka,32:03,0,Ž16,"3,7",0,9
Ocvirk,Pia,35:29,0,Ž16,"3,7",0,9
Lovrec,Mia,61:16,0,Ž16,"3,7",0,9
Gaspar,Kata,60:03,0,Ž16,"3,7",0,9
Katalin Tóth,Eszter,,3,Ž16,"3,7",0,9
Martos,Hanga,56:40,0,Ž16,"3,7",0,9
Szuromi,Mátyás,47:17,0,M16,"6,38",0,12
Gyenizse-Nagy,Balázs,45:52,0,M16,"6,38",0,12
Kovács,Barnabás,47:38,0,M16,"6,38",0,12
Turschl,Bence,53:30,0,M16,"6,38",0,12
Péri,Gergo,60:55,0,M16,"6,38",0,12
Ortmann,András,92:01,0,M16,"6,38",0,12
Árvay,Dénes,98:10,0,M16,"6,38",0,12
Puharić,Roko,82:26,0,M16,"6,38",0,12
Verović,Kristijan,87:03,0,M16,"6,38",0,12
Cvetković,Filip,95:14,0,M16,"6,38",0,12
Bánhidy,Levente,101:07,0,M16,"6,38",0,12
Černelić,Lucijan,126:45,0,M16,"6,38",0,12
Renić,Marko,,3,M16,"6,38",0,12
Szuromi,Luca,30:54,0,Ž20,"3,9",0,10
Becze,Rita,39:03,0,Ž20,"3,9",0,10
Orehoci,Roberta,44:43,0,Ž20,"3,9",0,10
Lovrec,Iva,43:30,0,Ž20,"3,9",0,10
Szabó,Gyöngyvér,49:19,0,Ž20,"3,9",0,10
Ratinland,Zsófia,48:42,0,Ž20,"3,9",0,10
Težak,Dora,,3,Ž20,"3,9",0,10
Sakar,Nika,,3,Ž20,"3,9",0,10
Kovács,Bertalan,63:19,0,M20,"8,6",0,18
Tóth,Péter,73:45,0,M20,"8,6",0,18
Ivković,Luka,83:19,0,M20,"8,6",0,18
Vladimir,Andro,107:26,0,M20,"8,6",0,18
Malnar,Patrik,111:46,0,M20,"8,6",0,18
Ormándi,Lázár,,3,M20,"8,6",0,18
Čubra,Nebojša,,3,M20,"8,6",0,18
Plavčak,Ana,39:36,0,Ž21B,"3,5",0,9
Kasaš Spasić,Irena,50:26,0,Ž21B,"3,5",0,9
Krupka,Željka,50:09,0,Ž21B,"3,5",0,9
Kopjar,Marina,52:35,0,Ž21B,"3,5",0,9
Štrbac,Ivana,65:30,0,Ž21B,"3,5",0,9
Stipić,Bernardica,76:37,0,Ž21B,"3,5",0,9
Spudić,Valeria,70:31,0,Ž21B,"3,5",0,9
Ugarković,Ana,85:36,0,Ž21B,"3,5",0,9
Magušić,Radmila,85:06,0,Ž21B,"3,5",0,9
Petkovic,Doris,71:42,0,Ž21B,"3,5",0,9
Lajtan,Zoltan,49:46,0,M21B,"4,75",0,8
Kersity,András,45:37,0,M21B,"4,75",0,8
Despetović,Tihomir,51:58,0,M21B,"4,75",0,8
Trivunović,Vladimir,56:11,0,M21B,"4,75",0,8
Perica,Petar,70:32,0,M21B,"4,75",0,8
Bertol,Ivica,72:32,0,M21B,"4,75",0,8
Plavčak,Luka,71:41,0,M21B,"4,75",0,8
Matun,Mirko,74:10,0,M21B,"4,75",0,8
Hečimović,Neven,73:03,0,M21B,"4,75",0,8
Andračić,Zoran,80:22,0,M21B,"4,75",0,8
Odžić,Josip,93:22,0,M21B,"4,75",0,8
Pavić,Marko,86:25,0,M21B,"4,75",0,8
Burčul,Šime,79:04,0,M21B,"4,75",0,8
Sovilj,Dalibor,103:50,0,M21B,"4,75",0,8
Mustafagić,Matej,,3,M21B,"4,75",0,8
Labrović,Marin,,3,M21B,"4,75",0,8
Maleš,Ante,,3,M21B,"4,75",0,8
Opalić,Boško,71:21,0,M21B,"4,75",0,8
Lesjak,Sonja,40:09,0,Ž35,"3,9",0,10
Hribar,Anica,44:03,0,Ž35,"3,9",0,10
Jakšić,Mirka,57:45,0,Ž35,"3,9",0,10
Cindrić Perković,Jasminka,53:42,0,Ž35,"3,9",0,10
Popović Budi,Daniela,51:58,0,Ž35,"3,9",0,10
Rácz,Eszter,65:32,0,Ž35,"3,9",0,10
Seražin Korper,Sabina,56:24,0,Ž35,"3,9",0,10
Vonyó Péterné,Réka,66:04,0,Ž35,"3,9",0,10
Lovrec,Darinka,82:10,0,Ž35,"3,9",0,10
Kušt,Maja,84:13,0,Ž35,"3,9",0,10
Jevševar,Bojan,72:25,0,M35,"8,6",0,18
Salopek,Tihomir,75:48,0,M35,"8,6",0,18
Orehoci,Robert,72:47,0,M35,"8,6",0,18
Koščak,Željko,85:04,0,M35,"8,6",0,18
Vodopija,Goran,89:51,0,M35,"8,6",0,18
Bernáth,Zsolt,94:36,0,M35,"8,6",0,18
Suban,Damir,106:29,0,M35,"8,6",0,18
Budi,Franjo,112:41,0,M35,"8,6",0,18
Vuk,Tomislav,107:58,0,M35,"8,6",0,18
Žagar,Krešimir,88:07,0,M35,"8,6",0,18
Vukmanović,Mladen,84:53,0,M35,"8,6",0,18
Viniczainé Kovács,Ildikó,24:29,0,Ž45,"3,12",0,9
Turcsánné,Erzsébet,30:08,0,Ž45,"3,12",0,9
Tóthné Pfeiffer,Zsuzsanna,31:47,0,Ž45,"3,12",0,9
Németh,Zsoltné,32:04,0,Ž45,"3,12",0,9
Janžek,Smiljana,43:22,0,Ž45,"3,12",0,9
Cvitković,Maja,48:09,0,Ž45,"3,12",0,9
Ebenspanger,Emilija,51:26,0,Ž45,"3,12",0,9
Fabek,Branka,60:00,0,Ž45,"3,12",0,9
Knódel,Éva,56:01,0,Ž45,"3,12",0,9
Vendler Čepelak,Željka,67:31,0,Ž45,"3,12",0,9
Tóth,Marianna,36:48,0,Ž45,"3,12",0,9
Csillag,Kati,43:07,0,Ž45,"3,12",0,9
Viniczai,Ferenc,49:08,0,M45,"6,34",0,13
Rácz,Róbert,58:21,0,M45,"6,34",0,13
Pataki,Gábor,59:58,0,M45,"6,34",0,13
Gajdos,György,65:10,0,M45,"6,34",0,13
Štambuk,Dario,62:43,0,M45,"6,34",0,13
Lovrec,Nenad,63:21,0,M45,"6,34",0,13
Tóth,Zsolt,76:56,0,M45,"6,34",0,13
Oláh,Sandor,83:11,0,M45,"6,34",0,13
Janžek,Dražen,80:18,0,M45,"6,34",0,13
Lovas,Zoltán,86:37,0,M45,"6,34",0,13
Bogović,Marijan,83:03,0,M45,"6,34",0,13
Uroić,Milivoj,89:40,0,M45,"6,34",0,13
Németh,Zsolt,94:41,0,M45,"6,34",0,13
Perica,Mladen,122:32,0,M45,"6,34",0,13
Fehér,Mihály,29:12,0,M55,"3,52",0,11
Kóger,Gyula,36:08,0,M55,"3,52",0,11
Pongrac,Ivan,40:16,0,M55,"3,52",0,11
Pires,José,55:33,0,M55,"3,52",0,11
Sladič,Roman,46:07,0,M55,"3,52",0,11
Magušić,Franjo,,3,M55,"3,52",0,11
Belaj,Željko,,3,M55,"3,52",0,11
Varga,György,39:40,0,M65,"3,2",0,10
Balázsy,László,45:09,0,M65,"3,2",0,10
Turkalj,Milan,66:36,0,M65,"3,2",0,10
Debić,Mladen,66:07,0,M65,"3,2",0,10
Čepelak,Radovan,79:11,0,M65,"3,2",0,10
Dr. Kiss,Endre,,3,M65,"3,2",0,10
