ime,prezime,vrijeme,klasifier,kategorija,staza,uspon,kontrola
Janžek,Gregor,58:45,0,M 15-18,7.8,210,9
Tkalec,Vedran,,3,M 15-18,7.8,210,9
Janžek,Dražen,46:02,0,M45,7.8,210,9
Klarić,Darko,46:06,0,M45,7.8,210,9
Perica,Mladen,51:23,0,M45,7.8,210,9
Sokolović,Slobodan,55:57,0,M45,7.8,210,9
Vodovnik,Mirko,59:53,0,M45,7.8,210,9
Perica,Petar,46:13,0,M kratka,7.8,210,9
Janžek,Lovro,61:42,0,M kratka,7.8,210,9
Vidovič,Iztok,40:24,0,M E,10.2,350,11
Dravetz,Walter,41:59,0,M E,10.2,350,11
Legac,Lino,42:59,0,M E,10.2,350,11
Lovrec,Nenad,43:02,0,M E,10.2,350,11
Habuš,Ivan,43:59,0,M E,10.2,350,11
Bauman,Boris,44:17,0,M E,10.2,350,11
Raj,Grega,46:33,0,M E,10.2,350,11
Cokan,Samo,49:55,0,M E,10.2,350,11
Vudler,Uroš,73:42,0,M E,10.2,350,11
Vuk,Tomislav,mp,3,M E,10.2,350,11
Lovrec,Iva,41:24,0,Ž 15-18,5.68,190,7
Lovrec,Mia,46:43,0,Ž 15-18,5.68,190,7
Sokolović,Alida,35:29,0,Ž kratka,4.57,140,7
Kočila,Mihaela,38:34,0,Ž kratka,4.57,140,7
Vlahović,Jasminka,45:01,0,Ž E,7.8,210,9
Janžek,Smiljana,53:44,0,Ž E,7.8,210,9
