Pos.,St. No.,Name,Class,Club,Country,Time 1,,Time,Time+
M12     (1550m, 75m)
1.,58,Škrinjar Vili,M12,VIH,CRO,27:49,(1),27:49,
2.,122,Ištvan Jakov,M12,SOV,CRO,29:47,(2),29:47,+01:58
3.,82,Tutić Teo,M12,VIH,CRO,32:24,(3),32:24,+04:35
4.,57,Pavlić Tin,M12,VIH,CRO,34:44,(4),34:44,+06:55
5.,130,Bašić Borna,M12,ORI,CRO,43:39,(5),43:39,+15:50

M14     (1680m, 75m)
1.,83,Težak Karlo,M14,VIH,CRO,28:36,(1),28:36,
2.,61,Kukec Jura,M14,VIH,CRO,29:59,(2),29:59,+01:23
3.,1,Mihaljević Dominik,M14,JAP,CRO,30:58,(3),30:58,+02:22
4.,123,Handanović Marin,M14,SOV,CRO,31:56,(4),31:56,+03:20
5.,2,Antolović Lovro,M14,JAP,CRO,34:42,(5),34:42,+06:06
6.,59,Gobec Jan,M14,VIH,CRO,41:48,(6),41:48,+13:12
7.,60,Gobec Timo Vilim,M14,VIH,CRO,48:01,(7),48:01,+19:25
8.,131,Kralj Antonio,M14,ORI,CRO,60:26,(8),60:26,+31:50

M16     (1890m, 95m)
1.,11,Puharić Roko,M16,JAP,CRO,47:06,(1),47:06,
2.,12,Cvetković Filip,M16,JAP,CRO,48:36,(2),48:36,+01:30
3.,85,Kirin Dominik,M16,VIH,CRO,56:28,(3),56:28,+09:22
4.,10,Verović Kristijan,M16,JAP,CRO,66:24,(4),66:24,+19:18
,67,Černelić Lucijan,M16,VIH,CRO,dns,,disq,

M20     (2540m, 135m)
1.,120,Ivković Luka,M20,SOV,CRO,43:12,(1),43:12,
2.,105,Štambuk Andro Vladimir,M20,IME,CRO,47:28,(2),47:28,+04:16
3.,121,Čubra Nebojša,M20,SOV,CRO,103:57,(3),103:57,+60:45

M21A     (3920m, 200m)
1.,15,Ocvirk Edi,M21A,JAP,CRO,50:04,(1),50:04,
2.,76,Gobec Damir,M21A,VIH,CRO,51:19,(2),51:19,+01:15
3.,108,Štambuk Matej,M21A,IME,CRO,52:23,(3),52:23,+02:19
4.,144,Marković Frane,M21A,JAP,CRO,57:26,(4),57:26,+07:22
5.,89,Varnica Tomislav,M21A,VIH,CRO,58:22,(5),58:22,+08:18
6.,109,Štambuk Mario,M21A,IME,CRO,60:23,(6),60:23,+10:19
7.,39,Spasić Vladimir,M21A,KAP,CRO,64:22,(7),64:22,+14:18
8.,115,Košturić Marko,M21A,JEL,CRO,72:14,(8),72:14,+22:10
9.,77,Suhina Vanja,M21A,VIH,CRO,79:06,(9),79:06,+29:02

M21B     (1890m, 95m)
1.,25,Despetović Tihomir,M21B,BJE,CRO,22:52,(1),22:52,
2.,128,Tkalec Vladimir,M21B,OKM,CRO,27:28,(2),27:28,+04:36
3.,35,Jelić Ivor,M21B,KAP,CRO,27:32,(3),27:32,+04:40
4.,20,Perica Petar,M21B,BJE,CRO,31:26,(4),31:26,+08:34
5.,116,Odžić Josip,M21B,JEL,CRO,35:44,(5),35:44,+12:52
6.,143,Kolenko Tomica,M21B,KAP,CRO,36:27,(6),36:27,+13:35
7.,40,Nosić Silvije,M21B,KAP,CRO,37:49,(7),37:49,+14:57
8.,111,Matijevac Danijel,M21B,JEL,CRO,38:38,(8),38:38,+15:46
9.,112,Šeperić-Grdiša Ivan,M21B,JEL,CRO,39:43,(9),39:43,+16:51
10.,90,Bertol Ivica,M21B,VIH,CRO,44:07,(10),44:07,+21:15
11.,118,Trivunović Vladimir,M21B,SOV,CRO,44:24,(11),44:24,+21:32
12.,92,Skračić Borna Lav,M21B,VIH,CRO,47:17,(12),47:17,+24:25
13.,94,Tutić Dražen,M21B,VIH,CRO,49:09,(13),49:09,+26:17
14.,102,Mađarić Predrag,M21B,IME,CRO,66:48,(14),66:48,+43:56
15.,93,Kovaček Mladen,M21B,VIH,CRO,84:12,(15),84:12,+61:20
,117,Sovilj Dalibor,M21B,SOV,CRO,dns,,disq,
,91,Mesic Matija,M21B,VIH,CRO,dns,,disq,

M35     (2660m, 130m)
1.,45,Kaniški Tomislav,M35,MAK,CRO,29:21,(1),29:21,
2.,9,Legac Lino,M35,JAP,CRO,29:38,(2),29:38,+00:17
3.,18,Salopek Tihomir,M35,RIS,CRO,30:05,(3),30:05,+00:44
4.,110,Fabijanić Daniel,M35,JEL,CRO,36:46,(4),36:46,+07:25
5.,62,Delgado Pako,M35,VIH,CRO,46:20,(5),46:20,+16:59
6.,126,Koščak Željko,M35,OKM,CRO,48:20,(6),48:20,+18:59
7.,28,Surjan Darko,M35,KAP,CRO,65:18,(7),65:18,+35:57
8.,38,Vukmanović Mladen,M35,KAP,CRO,65:34,(8),65:34,+36:13
9.,27,Rocco Dario,M35,KAP,CRO,67:10,(9),67:10,+37:49
10.,63,Kukec Boris,M35,VIH,CRO,109:48,(10),109:48,+80:27
,22,Orehoci Robert,M35,BJE,CRO,disq,,disq,
,49,Vukelić Bojan,M35,MAK,CRO,mp,,disq,

M45     (1940m, 95m)
1.,65,Lovrec Nenad,M45,VIH,CRO,30:51,(1),30:51,
2.,106,Štambuk Dario,M45,IME,CRO,32:56,(2),32:56,+02:05
3.,114,Bogović Marijan,M45,JEL,CRO,33:58,(3),33:58,+03:07
4.,50,Merunka Darko,M45,MAK,CRO,34:50,(4),34:50,+03:59
5.,132,Tišljar Ivo,M45,ORI,CRO,41:49,(5),41:49,+10:58
6.,51,Lukačić Ivica,M45,MAK,CRO,45:00,(6),45:00,+14:09
7.,19,Perica Mladen,M45,BJE,CRO,45:49,(7),45:49,+14:58
8.,84,Sirovec Zlatko,M45,VIH,CRO,51:49,(8),51:49,+20:58
,64,Gobec Karlo,M45,VIH,CRO,dns,,disq,
