------------------------------------------------------------------------
34. Pokal Zagreba                                   pon 22.9.2014. 13:12
Rezultati
----------------------OE2003 © Stephan Krämer 2008----------------------

   Pl   Stbr Ime                       GR Klub                        Vrijeme 



M12  (3)                  1.4 km  70 m/u   7 KT   

    1    213 Vukeliæ, Juraj               OK Maksimi Maksimir           50:27 
    2    202 Tin, Pavliæ                  OK Vihor Vihor                54:39 
    3        Tutiæ, Teo                   OK Vihor Vihor              1:05:11 



Ž12  (9)                  1.4 km  70 m/u   7 KT   

    1        Lesjak, Jelena               OK Japetic JAP                30:52 
    2    210 Kršiæ, Lea                   Ivan Merz IME                 33:56 
    3        Tadiæ, Eli                   OK Japetic JAP                36:52 
    4        Kukec, Marta                 OK Vihor Vihor                43:07 
    5        Delgado Sršen, Kira          OK Vihor Vihor                49:29 

             Vukeliæ, Dora                OK Maksimi Maksimir              MP 
             Kovaèeviæ, Ana Marija        OK Japetic JAP                  DNS 
             Gojmerac, Marta              Ivan Merz IME                   DNS 
         203 Ana, Kardum                  OK Vihor Vihor                  DNS 



M14  (6)                  1.9 km  85 m/u   9 KT   

    1        Gobec, Jan                   OK Vihor Vihor                25:48 
    2        Kukec, Jura                  OK Vihor Vihor                32:38 
    3        Kodba, Vid                   OK Vihor Vihor                35:36 
    4        Kodba, Tin                   OK Vihor Vihor                37:55 
    5        Gobec, Timo Vilim         00 OK Vihor Vihor                45:10 

             Kralj, Antonio            01 OK Orion ORI                    DNS 



Ž14  (7)                  1.9 km  85 m/u   9 KT   

    1        Jakopec, Iva                 OK Japetic JAP                39:54 
    2        Maðariæ, Iva                 Ivan Merz IME                 42:56 
    3        Pajèin, Lana                 OK Sova OK Sova               44:18 
    4        Škugor, Hana                 OK Japetic JAP                51:22 
    5        Gojmerac, Lucija             Ivan Merz IME                 53:33 
    6        Srebaèiæ, Ana                Ivan Merz IME               1:13:27 
    7        Magdiæ Govedarica, Eva       OK Japetic JAP              1:16:26 



M16  (9)                  2.6 km  110 m/u   9 KT  

    1        Kirin, Dominik               OK Vihor Vihor                35:39 
    2        Veroviæ, Kristijan           OK Japetic JAP                42:02 
    3        Cvetkoviæ, Filip             OK Japetic JAP                44:23 
    4        Puhariæ, Roko                OK Japetic JAP                53:41 
    5        Jurak, Filip                 Ivan Merz IME                 57:48 
    6        Gojmerac, Petar              Ivan Merz IME                 59:32 
    7        Èerneliæ, Lucijan            OK Vihor Vihor              1:27:57 

             Letica, Ivan                 OK Vihor Vihor                   MP 
             Tišljar, Antun               OK Orion ORI                    DNS 



Ž16  (4)                  2.4 km  105 m/u   10 KT 

    1        Ocvirk, Pia               99 OK Japetic JAP                31:22 
    2        Lovrec, Mia                  OK Vihor Vihor                37:12 
    3        Tišljar, Ana              00 OK Orion ORI                  37:28 
    4     33 Bašiæ, Lucija Gianna         OK Orion ORI                1:05:18 



M20  (3)                  3.7 km  165 m/u   18 KT 

    1        Štambuk, Andro Vladimir      Ivan Merz IME                 39:17 
    2        Ivkoviæ, Luka                OK Sova OK Sova               44:07 
    3        Èubra, Nebojša               OK Sova OK Sova               57:49 



Ž20  (4)                  3.4 km  155 m/u   12 KT 

    1        Lovrec, Iva                  OK Vihor Vihor                35:12 
    2        Težak, Dora                  OK Vihor Vihor                46:44 
    3        Gobec, Lea Katarina       98 OK Vihor Vihor                47:26 
    4        Orehoci, Roberta          96 OK Bjelova BJE                58:30 



M21A  (6)                 5.4 km  265 m/u   25 KT 

    1        Razum, Matija             93 OK Japetic JAP                45:53 
    2        Gobec, Damir              72 OK Vihor Vihor                49:06 
    3        Štambuk, Mario            92 Ivan Merz IME                 53:15 
    4        Spasiæ, Vladimir          83 OK Kapela KAP                 57:43 
    5        Varnica, Tomislav            OK Vihor Vihor                58:40 

             Ocvirk, Edi               75 OK Japetic JAP                   MP 



Ž21A  (11)                3.8 km  165 m/u   19 KT 

    1        Paviæ, Mirja                 OK Japetic JAP                42:16 
    2        Vukmanoviæ, Vinka         83 OK Kapela KAP                 46:00 
    3        Orliæ, Antonija           77 OK Bjelova BJE                47:23 
    4        Bedekoviæ Tankoviæ, Mart  75 OK Jelen OK Jelen             52:02 
    5        Ocvirk, Eva                  OK Japetic JAP                56:23 
    6        Žužiæ, Sanja              82 OK Vihor Vihor              1:02:14 
    7        Sršen, Matea                 OK Vihor Vihor              1:02:25 
    8        Beblek, Ana                  OK Vihor Vihor              1:29:23 

          80 Kasaš Spasiæ, Irena          OK Kapela KAP                    MP 
             Žgela, Marijana           79 OK Kapela KAP                   DNS 
             Gobec, Ivana              73 OK Vihor Vihor                  DNS 



M21B  (9)                 2.7 km  130 m/u   10 KT 

    1        Jeliæ, Ivor                  OK Kapela KAP                 34:46 
    2        Šeperiæ-Grdiša, Ivan      83 OK Jelen OK Jelen             47:58 
    3        Sovilj, Dalibor              OK Sova OK Sova               53:13 
    4        Cvetkoviæ, Robert            OK Japetic JAP                53:43 
    5        Maðariæ, Predrag             Ivan Merz IME                 56:17 
    6    208 Matijevac, Danijel        83 OK Jelen OK Jelen           1:03:49 
    7        Gojmerac, Tomislav           Ivan Merz IME               1:05:39 
    8        Odžiæ, Josip              87 OK Jelen OK Jelen           1:07:11 
    9     78 Tutiæ, Dražen                OK Vihor Vihor              1:07:25 



Ž21B  (4)                 2.3 km  110 m/u   9 KT  

    1        Kopjar, Marina               Ivan Merz IME                 54:10 
