prezime,ime,vrijeme,kvalifikator,kategorija,staza,uspon,kontrola
Barnabas,Hargitai,22:27,0,M12,2.3,65,9
Apró,Máté,24:01,0,M12,2.3,65,9
Egédi,Gerg,24:52,0,M12,2.3,65,9
Tišljar,Mirko,28:40,0,M12,2.3,65,9
Bálinti,Áron,28:40,0,M12,2.3,65,9
Rácz,Mátyás,34:39,0,M12,2.3,65,9
Vadász,Péter Zalán,41:10,0,M12,2.3,65,9
Barnabás,Varga,50:59,0,M12,2.3,65,9
Mézes,Botond Cseg,75:01,0,M12,2.3,65,9
Fülöp,Álmos Huba,34:36,0,M14,2.6,155,11
Tutić,Teo,51:08,0,M14,2.6,155,11
Marković,Rudi,75:21,0,M14,2.6,155,11
Vozár,Mátyás,33:26,0,M16,3.1,190,12
Husznai,Gellért,34:31,0,M16,3.1,190,12
Szuhán,Gábor,34:48,0,M16,3.1,190,12
Werner,Bendegúz,41:04,0,M16,3.1,190,12
Kukec,Jura,41:37,0,M16,3.1,190,12
Gobec,Jan,44:25,0,M16,3.1,190,12
Težak,Karlo,47:45,0,M16,3.1,190,12
Marković,Dušan,49:08,0,M16,3.1,190,12
Kodba,Vid,56:46,0,M16,3.1,190,12
Kodba,Tin,80:14,0,M16,3.1,190,12
Kirin,Dominik,43:53,0,M20,4.5,225,15
Ivković,Luka,49:08,0,M20,4.5,225,15
Ortmann,András,55:23,0,M20,4.5,225,15
Puharić,Roko,62:45,0,M20,4.5,225,15
Cvetković,Filip,68:25,0,M20,4.5,225,15
Jurak,Filip,dnf,1,M20,4.5,225,15
Štambuk,Andro Vladimir,dns,1,M20,4.5,225,15
Roksandić,Stevan,27:10,0,M21B,2.6,155,11
Perica,Petar,34:27,0,M21B,2.6,155,11
Stankovski,Dalibor,37:15,0,M21B,2.6,155,11
Tutić,Dražen,37:49,0,M21B,2.6,155,11
Biro,Andrej,38:28,0,M21B,2.6,155,11
Mađarić,Predrag,39:28,0,M21B,2.6,155,11
Grginov,Hrvoje,40:23,0,M21B,2.6,155,11
Čubra,Nebojša,41:05,0,M21B,2.6,155,11
Perica,Mladen,45:22,0,M21B,2.6,155,11
Zadrović,Filip,45:59,0,M21B,2.6,155,11
Mehinović,Armin,51:27,0,M21B,2.6,155,11
Boras,Ante,54:30,0,M21B,2.6,155,11
Kokoš,Krunoslav,64:59,0,M21B,2.6,155,11
Razum,Matija,35:43,0,M21A,4.5,225,15
Vonyó,Péter,37:28,0,M21A,4.5,225,15
Nikoli,Dejan,41:28,0,M21A,4.5,225,15
Ocvirk,Edi,41:58,0,M21A,4.5,225,15
Despetović,Tihomir,44:30,0,M21A,4.5,225,15
Pongrac,Branimir,45:00,0,M21A,4.5,225,15
Marković,Frane,47:53,0,M21A,4.5,225,15
Spasi,Vladimir,49:05,0,M21A,4.5,225,15
Werner,Péter,50:31,0,M21A,4.5,225,15
Varnica,Tomislav,50:44,0,M21A,4.5,225,15
Filetin,Luka,51:32,0,M21A,4.5,225,15
Štanfel,Matjaž,dns,0,M21A,4.5,225,15
Legac,Lino,43:01,0,M35,4.5,225,15
Budi,Franjo,48:06,0,M35,4.5,225,15
Orehoci,Robert,48:27,0,M35,4.5,225,15
Vodopija,Goran,48:46,0,M35,4.5,225,15
Bálinti,Kornél,51:56,0,M35,4.5,225,15
Antolić,Željko,54:04,0,M35,4.5,225,15
Veljović,Slobodan,56:53,0,M35,4.5,225,15
Gamberger,Marko,57:35,0,M35,4.5,225,15
Koščak,Željko,61:47,0,M35,4.5,225,15
Hainž,Miroslav,63:53,0,M35,4.5,225,15
Meštrović,Tomislav,75:56,0,M35,4.5,225,15
Van de Riet,Gerrit,mp,3,M35,4.5,225,15
Ščurić,Davor,dns,1,M35,4.5,225,15
Gotal,Mario,dns,1,M35,4.5,225,15
Štambuk,Dario,26:00,0,M45,2.6,155,11
Rácz,Róbert,27:03,0,M45,2.6,155,11
Merunka,Darko,27:07,0,M45,2.6,155,11
Smerke,Andrej,29:18,0,M45,2.6,155,11
Ambrus,Sándor,31:18,0,M45,2.6,155,11
Bogović,Marijan,32:22,0,M45,2.6,155,11
Fuller,Károly,33:56,0,M45,2.6,155,11
Jelić,Mladen,35:12,0,M45,2.6,155,11
Trivunović,Vladimir,37:37,0,M45,2.6,155,11
Paskuj,Mátyás,38:28,0,M45,2.6,155,11
Uroić,Milivoj,39:28,0,M45,2.6,155,11
Žagar,Vujadin,41:06,0,M45,2.6,155,11
Priher,Miroslav,47:57,0,M45,2.6,155,11
Tasić,Života,27:39,0,M55,2.6,140,11
Fehér,Mihály,28:26,0,M55,2.6,140,11
Németh,Ferenc,32:20,0,M55,2.6,140,11
Angster,Gábor,36:41,0,M55,2.6,140,11
Tóth,János,dns,1,M55,2.6,140,11
Magušić,Franjo,dns,1,M55,2.6,140,11
Fluck,István,37:05,0,M65,2.6,140,11
Pongrac,Ivan,40:47,0,M65,2.6,140,11
Belaj,Željko,41:08,0,M65,2.6,140,11
Dučak,Josip,42:44,0,M65,2.6,140,11
Balázsy,László,49:53,0,M65,2.6,140,11
Szcs,György,52:47,0,M65,2.6,140,11
Íjjász,István,58:05,0,M65,2.6,140,11
Turkalj,Milan,69:05,0,M65,2.6,140,11
Laszlo,Bodo,96:11,0,M65,2.6,140,11
Tihanyi,László,139:52,0,M65,2.6,140,11
Kukec,Marta,29:02,0,Ž12,2.3,65,9
Marković,Ivana,41:25,0,Ž12,2.3,65,9
Težak,Magdalena,43:15,0,Ž12,2.3,65,9
Werner,Boróka,35:33,0,Ž16,2.6,140,10
Nóra,Diána,38:02,0,Ž16,2.6,140,10
Jakopec,Iva,55:34,0,Ž16,2.6,140,10
Kermek,Dora,67:59,0,Ž16,2.6,140,10
Magdić Govedarica,Eva,74:52,0,Ž16,2.6,140,10
Mađarić,Iva,77:54,0,Ž16,2.6,140,10
Ocvirk,Pia,44:58,0,Ž20,3.6,180,12
Lovrec,Iva,47:58,0,Ž20,3.6,180,12
Tišljar,Ana,51:29,0,Ž20,3.6,180,12
Lovrec,Mia,53:36,0,Ž20,3.6,180,12
Oláh,Renáta,39:14,0,Ž21B,2.6,145,12
Krupka,Željka,56:32,0,Ž21B,2.6,145,12
Nikolić,Eni,68:45,0,Ž21B,2.6,145,12
Težak,Ivana,119:03,0,Ž21B,2.6,145,12
Kermek Zadravec,Senija,123:31,0,Ž21B,2.6,145,12
Kovačević,Ana,mp,1,Ž21B,2.6,145,12
Filipović,Tamara,mp,1,Ž21B,2.6,145,12
Vida,Marija,mp,1,Ž21B,2.6,145,12
Pavić,Mirja,38:56,0,Ž21A,3.6,180,12
Császár,Éva,39:23,0,Ž21A,3.6,180,12
Orlić,Antonija,41:49,0,Ž21A,3.6,180,12
Sakar Vukić,Tena,44:36,0,Ž21A,3.6,180,12
Ocvirk,Eva,46:56,0,Ž21A,3.6,180,12
Krznar,Kristina,50:20,0,Ž21A,3.6,180,12
Težak,Dora,50:26,0,Ž21A,3.6,180,12
Žužić,Sanja,61:01,0,Ž21A,3.6,180,12
Štambuk,Marija,dnf,1,Ž21A,3.6,180,12
Van de Riet,Dunja,40:43,0,Ž35,3.2,150,12
Popović Budi,Daniela,46:28,0,Ž35,3.2,150,12
Žgela,Marijana,46:48,0,Ž35,3.2,150,12
Cini,Fabiana,47:59,0,Ž35,3.2,150,12
Šantić,Nikolina,49:08,0,Ž35,3.2,150,12
Paskuj,Mátyásné,49:12,0,Ž35,3.2,150,12
Meštrović,Irena,51:03,0,Ž35,3.2,150,12
Kušt,Maja,56:09,0,Ž35,3.2,150,12
Jakšić,Mirka,60:20,0,Ž35,3.2,150,12
Cindrić,Jasminka,64:47,0,Ž35,3.2,150,12
Stipić,Bernardica,67:15,0,Ž35,3.2,150,12
Srebačić,Davorka,81:21,0,Ž35,3.2,150,12
Lovas,Ágnes,34:24,0,Ž45,2.6,140,10
Mihály,Gyöngyi,34:35,0,Ž45,2.6,140,10
Vlahović,Jasminka,36:18,0,Ž45,2.6,140,10
Tóth,Marianna,40:29,0,Ž45,2.6,140,10
Ebenspanger,Emilija,46:32,0,Ž45,2.6,140,10
Knódel,Éva,51:36,0,Ž45,2.6,140,10
Cvitković,Maja,58:47,0,Ž45,2.6,140,10
Fabek,Branka,61:32,0,Ž45,2.6,140,10
