Surname,First name,Time,Classifier,Course,km,m,Course controls
Barnabas,Hargitai,13:25,0,M12,1.23,10,13
Vukelić,Juraj,14:44,0,M12,1.23,10,13
Strmečki,Vibor,22:43,0,M12,1.23,10,13
Gobec,Jan,23:45,0,M16,1.89,10,16
Molnár,Levente,25:57,0,M16,1.89,10,16
Molnár,Botond,30:01,0,M16,1.89,10,16
Bognár,Zoltán,39:29,0,M16,1.89,10,16
Kirin,Dominik,17:16,0,M20,2.51,10,20
Štambuk,Andro,19:38,0,M20,2.51,10,20
Erdős,Márton,21:21,0,M20,2.51,10,20
Cvetković,Filip,27:48,0,M20,2.51,10,20
Janžek,Gregor,27:52,0,M20,2.51,10,20
Puharić,Roko,29:10,0,M20,2.51,10,20
Verović,Kristijan,,2,M20,2.51,10,20
Razum,Matija,16:12,0,M21,2.51,10,20
Marković,Frane,22:22,0,M21,2.51,10,20
Horvat,Lobel,23:09,0,M21,2.51,10,20
Acketa,Igor,24:21,0,M21,2.51,10,20
Varnica,Tomislav,26:04,0,M21,2.51,10,20
Janžek,Lovro,31:34,0,M21,2.51,10,20
Leljak,Marko,32:19,0,M21,2.51,10,20
Košturić,Marko,34:51,0,M21,2.51,10,20
Ocvirk,Edi,20:37,3,M21,2.51,10,20
Horvat,Vjeran,,2,M21,2.51,10,20
Budi,Franjo,18:26,0,M35,2.35,10,16
Miháczi,Zoltán,21:00,0,M35,2.35,10,16
Orehoci,Robert,21:50,0,M35,2.35,10,16
Vodopija,Goran,24:44,0,M35,2.35,10,16
Meštrović,Tomislav,28:07,0,M35,2.35,10,16
Vukelić,Bojan,29:16,0,M35,2.35,10,16
Hainž,Miroslav,30:13,0,M35,2.35,10,16
Pavlin,Domagoj,31:50,0,M35,2.35,10,16
Kosić,Luka,34:52,0,M35,2.35,10,16
Šantić,Domagoj,36:06,0,M35,2.35,10,16
Bogović,Marijan,37:50,0,M35,2.35,10,16
Mađarić,Predrag,48:26,0,M35,2.35,10,16
Polanec,Branko,,2,M35,2.35,10,16
Rusan,Drago,,2,M35,2.35,10,16
Štambuk,Dario,13:51,0,M50,1.73,10,16
Strmečki,Petar,15:57,0,M50,1.73,10,16
Horvat,Saša,18:35,0,M50,1.73,10,16
Merunka,Darko,19:01,0,M50,1.73,10,16
Erdős,Gábor,20:40,0,M50,1.73,10,16
Priher,Miroslav,21:45,0,M50,1.73,10,16
Turkalj,Milan,28:01,0,M50,1.73,10,16
Jelić,Mladen,28:41,0,M50,1.73,10,16
Raškaj,Darko,29:14,0,M50,1.73,10,16
Lovrec,Nenad,15:52,3,M50,1.73,10,16
Vinko,Vladimir,26:07,3,M50,1.73,10,16
Janžek,Dražen,,1,M50,1.73,10,16
Vukelić,Dora,19:30,0,Ž12,1.21,10,12
Vukics,Zoé,20:14,0,Ž12,1.21,10,12
Pavlin,Paula,22:56,0,Ž16,1.7,10,15
Kermek,Dora,23:24,0,Ž16,1.7,10,15
Jerković Perić,Olga,24:35,0,Ž16,1.7,10,15
Mađarić,Iva,36:51,0,Ž16,1.7,10,15
Lovrec,Iva,21:50,0,Ž20,2.31,10,18
Lovrec,Mia,25:46,0,Ž20,2.31,10,18
Ocvirk,Pia,32:25,0,Ž20,2.31,10,18
Pavić,Mirja,25:39,0,Ž21,2.31,10,18
Ocvirk,Eva,26:58,0,Ž21,2.31,10,18
Orlić,Antonija,31:32,0,Ž21,2.31,10,18
Krznar,Kristina,34:05,0,Ž21,2.31,10,18
Kopjar,Marina,39:49,0,Ž21,2.31,10,18
Popović Budi,Daniela,19:06,0,Ž35,1.84,10,16
Žgela Putniković,Marijana,19:27,0,Ž35,1.84,10,16
Cini,Fabiana,20:53,0,Ž35,1.84,10,16
Šantić,Nikolina,21:03,0,Ž35,1.84,10,16
Berženji,Sanda,24:51,0,Ž35,1.84,10,16
Jakšić,Mirka,25:46,0,Ž35,1.84,10,16
Detić,Lidija,27:23,0,Ž35,1.84,10,16
Lovrec,Darinka,30:04,0,Ž35,1.84,10,16
Fabek,Branka,33:34,0,Ž35,1.84,10,16
Janžek,Smiljana,,1,Ž35,1.84,10,16
Čorko Meštrović,Irena,37:50,3,Ž35,1.84,10,16
