Surname,First name,Time,Classifier,Course,km,m,Course controls
Puharić,Roko,45:25,0,M20,2.75,110,10
Verović,Kristijan,71:24,0,M20,2.75,110,10
Tkalec,Vedran,,1,M20,2.75,110,10
Razum,Matija,33:39,0,M21,4.47,140,13
Ivković,Luka,42:15,0,M21,4.47,140,13
Bahun,Luka,44:55,0,M21,4.47,140,13
Lovrec,Nenad,46:58,0,M21,4.47,140,13
Bogović,Marijan,48:32,0,M21,4.47,140,13
Gobec,Damir,49:54,0,M21,4.47,140,13
Kersity,Andras,51:48,0,M21,4.47,140,13
Grgić,Mihael,55:49,0,M21,4.47,140,13
Šeperić-Grdiša,Ivan,61:28,0,M21,4.47,140,13
Marković,Frane,61:51,0,M21,4.47,140,13
Stankovski,Dalibor,63:15,0,M21,4.47,140,13
Leljak,Marko,73:22,0,M21,4.47,140,13
Delić,Petar,32:57,0,M35,3.84,140,13
Orehoci,Robert,35:42,0,M35,3.84,140,13
Gavrilov,Igor,36:10,0,M35,3.84,140,13
Fabijanić,Daniel,43:34,0,M35,3.84,140,13
Hainž,Miroslav,44:24,0,M35,3.84,140,13
Vuk,Tomislav,44:45,0,M35,3.84,140,13
Canjuga,Krunoslav,49:47,0,M35,3.84,140,13
Bončina,Igor,72:31,0,M35,3.84,140,13
Vinko,Branimir,83:18,0,M35,3.84,140,13
Priher,Miroslav,87:52,0,M35,3.84,140,13
Janžek,Dražen,96:55,0,M35,3.84,140,13
Perković,Dalibor,137:26,0,M35,3.84,140,13
Tkalec,Robert,,1,M35,3.84,140,13
Meštrović,Tomislav,,1,M35,3.84,140,13
Bister,Luka,51:49,0,OPEN,2.4,100,10
Potrebica,Ema,56:53,0,OPEN,2.4,100,10
Lah,Siniša,89:13,0,OPEN,2.4,100,10
Vodopija,Bruno,93:18,0,OPEN,2.4,100,10
Holenda,Karmen,128:23,0,OPEN,2.4,100,10
Turkalj,Milan,146:50,0,OPEN,2.4,100,10
Belović,Robert,,2,OPEN,2.4,100,10
Barat,Sara,,1,OPEN,2.4,100,10
Pavić,Mirja,37:18,0,Ž21,3.32,130,12
Gobec,Ivana,43:06,0,Ž21,3.32,130,12
Orlić,Antonija,44:33,0,Ž21,3.32,130,12
Lovrec,Mia,52:47,0,Ž21,3.32,130,12
Beblek,Ana,58:18,0,Ž21,3.32,130,12
Sipina Halper,Monika Martina,82:34,0,Ž21,3.32,130,12
Šantić,Nikolina,48:47,0,M20,2.75,110,10
Cindrić Perković,Jasminka,53:34,0,M20,2.75,110,10
Kopjar,Marina,56:45,0,M20,2.75,110,10
Kuzmanić,Ivana,61:39,0,M20,2.75,110,10
Cvitković,Maja,67:59,0,M20,2.75,110,10
Janžek,Smiljana,70:25,0,M20,2.75,110,10
Fabek,Branka,114:09,0,M20,2.75,110,10
