Surname,First name,Time,Classifier,Course,km,m,Course controls
Kuzmanić,Borna,18:50,0,M12,1.18,35,12
Strmečki,Vibor,19:23,0,M12,1.18,35,12
Odak,Toni,22:49,0,M12,1.18,35,12
Vukics,Zénó,25:37,0,M12,1.18,35,12
Skopljak,David,29:55,0,M12,1.18,35,12
Vidaković,Fabijan,49:58,0,M12,1.18,35,12
Odak,Jakov,41:57,3,M12,1.18,35,12
Salopek,Tihon,17:11,0,M16,1.69,60,16
Gobec,Jan,19:44,0,M16,1.69,60,16
Gazdag,Kristóf,34:49,0,M16,1.69,60,16
Vodopija,Bruno,48:54,0,M16,1.69,60,16
Kodba,Vid,,1,M16,1.69,60,16
Kodba,Tin,,1,M16,1.69,60,16
Guliš,Zvonimir,64:16,3,M16,1.69,60,16
Puharić,Roko,24:48,0,M20,2.29,100,17
Štambuk,Andro Vladimir,32:50,0,M20,2.29,100,17
Verović,Kristijan,40:18,0,M20,2.29,100,17
Težak,Karlo,41:42,0,M20,2.29,100,17
Gobec,Damir,26:15,0,M21,2.39,135,21
Marković,Frane,28:00,0,M21,2.39,135,21
Ivković,Luka,28:57,0,M21,2.39,135,21
Bahun,Luka,31:54,0,M21,2.39,135,21
Horvat,Lobel,34:29,0,M21,2.39,135,21
Kersity,Andras,35:17,0,M21,2.39,135,21
Leljak,Marko,38:02,0,M21,2.39,135,21
Bogović,Marijan,42:29,0,M21,2.39,135,21
Šeperić-Grdiša,Ivan,43:17,0,M21,2.39,135,21
Grgić,Mihael,43:55,0,M21,2.39,135,21
Janžek,Gregor,58:43,0,M21,2.39,135,21
Stankovski,Dalibor,63:08,0,M21,2.39,135,21
Šomođi,Vanja,70:45,0,M21,2.39,135,21
Kelemen,Tomislav,,3,M21,2.39,135,21
Salopek,Tihomir,18:57,0,M35,2.11,80,19
Ocvirk,Edi,20:51,0,M35,2.11,80,19
Budi,Franjo,21:24,0,M35,2.11,80,19
Delić,Petar,22:05,0,M35,2.11,80,19
Orehoci,Robert,22:29,0,M35,2.11,80,19
Gavrilov,Igor,24:45,0,M35,2.11,80,19
Kaniški,Tomislav,25:07,0,M35,2.11,80,19
Vodopija,Goran,25:37,0,M35,2.11,80,19
Hainž,Miroslav,27:13,0,M35,2.11,80,19
Markulinčić,Predrag,29:04,0,M35,2.11,80,19
Fabijanić,Daniel,30:19,0,M35,2.11,80,19
Kosić,Luka,31:00,0,M35,2.11,80,19
Orehovec,Ranko,39:48,0,M35,2.11,80,19
Meštrović,Tomislav,41:01,0,M35,2.11,80,19
Canjuga,Krunoslav,24:33,3,M35,2.11,80,19
Lovrec,Nenad,21:51,0,M50,1.71,85,14
Štambuk,Dario,22:22,0,M50,1.71,85,14
Jelić,Mladen,26:00,0,M50,1.71,85,14
Merunka,Darko,27:36,0,M50,1.71,85,14
Horvat,Saša,28:38,0,M50,1.71,85,14
Raškaj,Darko,30:51,0,M50,1.71,85,14
Vinko,Branimir,34:18,0,M50,1.71,85,14
Špoljar,Krešo,34:48,0,M50,1.71,85,14
Bončina,Igor,37:42,0,M50,1.71,85,14
Strmečki,Petar,40:44,0,M50,1.71,85,14
Janžek,Dražen,40:50,0,M50,1.71,85,14
Kiss Dr.,Endre,43:56,0,M50,1.71,85,14
Priher,Miroslav,,2,M50,1.71,85,14
Lah,Siniša,23:46,0,OPEN,1.49,55,11
Turkalj,Milan,25:23,0,OPEN,1.49,55,11
Kocijan,Luka,26:11,0,OPEN,1.49,55,11
Pevec,Ozren,28:35,0,OPEN,1.49,55,11
Potrebica,Tanja,29:18,0,OPEN,1.49,55,11
Labaš,Predrag,29:29,0,OPEN,1.49,55,11
Modrić,Matija,33:07,0,OPEN,1.49,55,11
Detić,Lidija,33:52,0,OPEN,1.49,55,11
Svoren,Luka,35:01,0,OPEN,1.49,55,11
Vidaković,Zvonko,36:10,0,OPEN,1.49,55,11
Horvat,Mirjana,36:27,0,OPEN,1.49,55,11
Vukics,Simon,38:47,0,OPEN,1.49,55,11
Benazić,Karin,39:04,0,OPEN,1.49,55,11
Bončina,Abigael,40:13,0,OPEN,1.49,55,11
Gazdag,Szilveszter,40:53,0,OPEN,1.49,55,11
Govedarica,Zvjezdana,40:54,0,OPEN,1.49,55,11
Lah,Mario,41:30,0,OPEN,1.49,55,11
Ostroški,Sanja,42:55,0,OPEN,1.49,55,11
Putarek,Mislav,43:10,0,OPEN,1.49,55,11
Rodek,Jura,43:31,0,OPEN,1.49,55,11
Turk,Noa,44:05,0,OPEN,1.49,55,11
Detić,Iva,51:49,0,OPEN,1.49,55,11
Oklopčić,Suzana,62:18,0,OPEN,1.49,55,11
Barbir,Katarina,64:21,0,OPEN,1.49,55,11
Radeljić,Antonija,64:32,0,OPEN,1.49,55,11
Zovak,Bruno,66:21,0,OPEN,1.49,55,11
Holenda,Karmen,71:23,0,OPEN,1.49,55,11
Kostelac,Marija,75:26,0,OPEN,1.49,55,11
Logarić,Tea,85:16,0,OPEN,1.49,55,11
Volarac,Igor,87:25,0,OPEN,1.49,55,11
Zadravec-Kermek,Senija,,4,OPEN,1.49,55,11
Marković,Kristina,,1,OPEN,1.49,55,11
Tkalec,Roberta,,1,OPEN,1.49,55,11
