Surname,First name,Time,Classifier,kategorija,km,m,Course controls
Milković,Patrick,21:13,0,M12,1.56,70,6
Smital,Mika,21:37,0,M12,1.56,70,6
Strmečki,Vibor,21:49,0,M12,1.56,70,6
Hovorka,Vid,23:14,0,M12,1.56,70,6
Meštrović,Martin,27:55,0,M12,1.56,70,6
Boban,Jakov,40:13,0,M12,1.56,70,6
Vukelić,Juraj,,1,M12,1.56,70,6
Hribar,Timotej,24:53,0,M14,2.05,90,10
Pavić,Viktor,39:55,0,M14,2.05,90,10
Kuzmanić,Borna,41:05,0,M14,2.05,90,10
Jevševar,Martin,26:55,0,M16,2.62,110,14
Salopek,Tihon,27:04,0,M16,2.62,110,14
Cindrić,Antonio,48:31,0,M16,2.62,110,14
Kocijan,Luka,51:20,0,M16,2.62,110,14
Krajnović,Luka,56:24,0,M16,2.62,110,14
Smital,Tomo,,1,M16,2.62,110,14
Gobec,Jan,34:45,0,M20,3.6,170,16
Štambuk,Andro Vladimir,35:29,0,M20,3.6,170,16
Puharić,Roko,44:58,0,M20,3.6,170,16
Cvetković,Filip,49:03,0,M20,3.6,170,16
Kukec,Jura,53:32,0,M20,3.6,170,16
Gobec,Timo Vilim,59:03,0,M20,3.6,170,16
Verović,Kristijan,,1,M20,3.6,170,16
Štanfel,Matjaž,29:54,0,M21A,4.35,200,15
Horvat,Lobel,40:34,0,M21A,4.35,200,15
Filetin,Luka,42:59,0,M21A,4.35,200,15
Varnica,Tomislav,43:30,0,M21A,4.35,200,15
Jevševar,Bojan,45:49,0,M21A,4.35,200,15
Kaldi,Vedran,47:01,0,M21A,4.35,200,15
Štambuk,Mario,49:04,0,M21A,4.35,200,15
Kosić,Luka,62:33,0,M21A,4.35,200,15
Čapeta,Davor,69:30,0,M21A,4.35,200,15
Karavidović,Luka,69:39,0,M21A,4.35,200,15
Kirin,Dominik,,1,M21A,4.35,200,15
Bijelić,Vedran,36:20,3,M21A,4.35,200,15
Kropivšek,Leon,,1,M21A,4.35,200,15
Jelić,Ivor,28:58,0,M21B,2.62,110,14
Bublić,Ivan,32:23,0,M21B,2.62,110,14
Miljković,Borna,44:38,0,M21B,2.62,110,14
Luri,Javi,47:36,0,M21B,2.62,110,14
Mesic,Matija,49:19,0,M21B,2.62,110,14
Delimar,Domagoj,50:31,0,M21B,2.62,110,14
Krajnović,Ivo,98:08,0,M21B,2.62,110,14
Salgado,Jorge,98:32,0,M21B,2.62,110,14
Ocvirk,Edi,31:38,0,M35,3.6,170,16
Salopek,Tihomir,32:08,0,M35,3.6,170,16
Vodopija,Goran,32:40,0,M35,3.6,170,16
Klobučarić,Damir,32:56,0,M35,3.6,170,16
Pongrac,Branimir,34:18,0,M35,3.6,170,16
Delić,Petar,34:28,0,M35,3.6,170,16
Kaniški,Tomislav,34:30,0,M35,3.6,170,16
Orehoci,Robert,37:34,0,M35,3.6,170,16
Spasić,Vladimir,38:14,0,M35,3.6,170,16
Meštrović,Tomislav,41:58,0,M35,3.6,170,16
Miljković,Damir,42:41,0,M35,3.6,170,16
Vuk,Tomislav,43:39,0,M35,3.6,170,16
Gverić,Ivan,45:58,0,M35,3.6,170,16
Canjuga,Krunoslav,46:40,0,M35,3.6,170,16
Stankovski,Dalibor,48:48,0,M35,3.6,170,16
Šantić,Domagoj,52:40,0,M35,3.6,170,16
Kacmar,Michael,54:50,0,M35,3.6,170,16
Novosel,Zdravko,66:10,0,M35,3.6,170,16
Surjan,Darko,,1,M35,3.6,170,16
Gojčič,Matej,,1,M35,3.6,170,16
Gobec,Damir,28:31,0,M45,2.72,120,11
Vukmanović,Mladen,29:15,0,M45,2.72,120,11
Penić,Ivan Ivo,30:42,0,M45,2.72,120,11
Merunka,Darko,31:49,0,M45,2.72,120,11
Vukelić,Bojan,34:44,0,M45,2.72,120,11
Bogović,Marijan,38:55,0,M45,2.72,120,11
Eržen,Boris,39:40,0,M45,2.72,120,11
Strmečki,Petar,41:16,0,M45,2.72,120,11
Delgado,Francisco,44:16,0,M45,2.72,120,11
Dasović,Hrvoje,55:11,0,M45,2.72,120,11
Šaflin,Zdravko,57:11,0,M45,2.72,120,11
Špoljar,Krešo,57:25,0,M45,2.72,120,11
Pavlin,Domagoj,59:33,0,M45,2.72,120,11
Štambuk,Dario,27:44,0,M55,2.41,110,10
Lovrec,Nenad,30:53,0,M55,2.41,110,10
Horvat,Saša,37:10,0,M55,2.41,110,10
Gobec,Karlo,38:46,0,M55,2.41,110,10
Montes Marcos,Roberto,40:48,0,M55,2.41,110,10
Jelić,Mladen,53:05,0,M55,2.41,110,10
Besten,Miroslav,56:55,0,M55,2.41,110,10
Matijašić,Josip,58:48,0,M55,2.41,110,10
Boban,Mile,63:22,0,M55,2.41,110,10
Pongrac,Ivan,29:24,0,M65,1.99,100,8
Belaj,Željko,31:27,0,M65,1.99,100,8
Mesić,Ivica,33:35,0,M65,1.99,100,8
Turkalj,Milan,39:12,0,M65,1.99,100,8
Ulip,Željko,45:14,0,M65,1.99,100,8
Čepelak,Radovan,,1,M65,1.99,100,8
Lukačić,Ivo,59:33,0,OPEN LONG,2.62,110,14
Lah,Mario,79:42,0,OPEN LONG,2.62,110,14
Horvat,Gordan,,1,OPEN LONG,2.62,110,14
Debić,Mladen,,2,OPEN LONG,2.62,110,14
Delić,Dora,16:04,0,OPEN SHORT,1.56,70,6
Šantić,Gloria,23:39,0,OPEN SHORT,1.56,70,6
Franc,Vera,29:47,0,OPEN SHORT,1.56,70,6
Kovač,Wanda,32:16,0,OPEN SHORT,1.56,70,6
Holenda,Karmen,37:54,0,OPEN SHORT,1.56,70,6
Velimirović,Beatrice,,1,OPEN SHORT,1.56,70,6
Pavić,Monika,18:21,0,Ž12,1.56,70,6
