prezime,ime,vrijeme,klasifikator,kategorija,duzina,uspon,kontrola
Benke-somorjai,Dávid,12:52,0,M12,2.08,40,7
Vukelić,Juraj,13:05,0,M12,2.08,40,7
Strmečki,Vibor,22:54,0,M12,2.08,40,7
Fodor,Ábel,,1,M12,2.08,40,7
Radó,Sebestyén,,1,M12,2.08,40,7
Pavlovics,Mátyás,,1,M12,2.08,40,7
Salopek,Tihon,20:49,0,M14,2.69,80,11
Rácz,Mátyás,25:13,0,M14,2.69,80,11
Eördögh,Levente,38:16,0,M14,2.69,80,11
Egédi,Gergő,64:15,0,M14,2.69,80,11
Kobasić,Dan,,1,M14,2.69,80,11
Kuzmanić,Borna,,1,M14,2.69,80,11
Kobijak,Karlo,,1,M14,2.69,80,11
Kovács,Sebestyén,25:00,0,M16,3.35,90,11
Gyenizse - Nagy,András Barnabás,30:10,0,M16,3.35,90,11
Erki,Ármin,39:56,0,M16,3.35,90,11
Kocijan,Luka,42:14,0,M16,3.35,90,11
Težak,Karlo,36:20,0,M20,4.07,135,14
Gobec,Jan,36:22,0,M20,4.07,135,14
Szuhán,Gábor,39:43,0,M20,4.07,135,14
Kukec,Jura,42:37,0,M20,4.07,135,14
Puharić,Roko,45:14,0,M20,4.07,135,14
Cvetković,Filip,46:28,0,M20,4.07,135,14
Husznai,Gellért,,1,M20,4.07,135,14
Kodba,Vid,85:47,3,M20,4.07,135,14
Werner,Bendegúz,200:50,3,M20,4.07,135,14
Razum,Matija,34:08,0,M21A,5.13,170,18
Filetin,Luka,44:17,0,M21A,5.13,170,18
Peh,Krunoslav,45:43,0,M21A,5.13,170,18
Horvat,Lobel,46:23,0,M21A,5.13,170,18
Čapeta,Davor,46:48,0,M21A,5.13,170,18
Péter,Werner,47:42,0,M21A,5.13,170,18
Varnica,Tomislav,51:42,0,M21A,5.13,170,18
Ivković,Luka,52:27,0,M21A,5.13,170,18
Horvat,Vjeran,52:32,0,M21A,5.13,170,18
Udvardy,Balázs,54:55,0,M21A,5.13,170,18
Šeperić-Grdiša,Ivan,61:19,0,M21A,5.13,170,18
Karavidović,Luka,68:21,0,M21A,5.13,170,18
Muhtić,Siniša,80:30,0,M21A,5.13,170,18
Kirin,Dominik,,1,M21A,5.13,170,18
Gadžić,Dražen,,1,M21A,5.13,170,18
Lah,Siniša,43:45,0,M21B,3.35,90,11
Popović,Damir,100:10,3,M21B,3.35,90,11
Truhlaž,Miodrag,,1,M21B,3.35,90,11
Mađarić,Predrag,,1,M21B,3.35,90,11
Odžić,Josip,,1,M21B,3.35,90,11
Delić,Petar,33:09,0,M35,4.17,140,16
Salopek,Tihomir,33:57,0,M35,4.17,140,16
Ocvirk,Edi,34:02,0,M35,4.17,140,16
Vodopija,Goran,37:52,0,M35,4.17,140,16
Canjuga,Krunoslav,39:54,0,M35,4.17,140,16
Budi,Franjo,39:55,0,M35,4.17,140,16
Vuk,Tomislav,40:04,0,M35,4.17,140,16
Pongrac,Branimir,40:06,0,M35,4.17,140,16
Orehoci,Robert,41:00,0,M35,4.17,140,16
Dugi,Tihomir,41:03,0,M35,4.17,140,16
Spasić,Vladimir,41:09,0,M35,4.17,140,16
Gverić,Ivan,43:14,0,M35,4.17,140,16
Fabijanić,Daniel,43:16,0,M35,4.17,140,16
Draušnik,Ivan,43:29,0,M35,4.17,140,16
Meštrović,Tomislav,48:06,0,M35,4.17,140,16
Tot,Nikola,52:33,0,M35,4.17,140,16
Stankovski,Dalibor,53:18,0,M35,4.17,140,16
Kaniški,Tomislav,,1,M35,4.17,140,16
Radó,János,,1,M35,4.17,140,16
Sovilj,Dalibor,,1,M35,4.17,140,16
Merunka,Darko,30:31,0,M45,3.34,95,10
Gobec,Damir,30:39,0,M45,3.34,95,10
Viniczai,Ferenc,32:27,0,M45,3.34,95,10
Delgado,Francisco,32:34,0,M45,3.34,95,10
Bogović,Marijan,33:10,0,M45,3.34,95,10
Vukelić,Bojan,33:54,0,M45,3.34,95,10
Penić,Ivan Ivo,33:57,0,M45,3.34,95,10
Hainž,Miroslav,39:06,0,M45,3.34,95,10
Bončina,Igor,40:08,0,M45,3.34,95,10
Strmečki,Petar,40:11,0,M45,3.34,95,10
Tutić,Dražen,44:37,0,M45,3.34,95,10
Toth,Zsolt,45:11,0,M45,3.34,95,10
Priher,Miroslav,48:55,0,M45,3.34,95,10
Sladič,Roman,50:20,0,M45,3.34,95,10
Žagar,Vujadin,62:53,0,M45,3.34,95,10
Špoljar,Krešo,62:58,0,M45,3.34,95,10
Pavlin,Domagoj,69:35,0,M45,3.34,95,10
Ifj. Dr. Pavlovics,György,,1,M45,3.34,95,10
Trivunović,Vladimir,,1,M45,3.34,95,10
Fodor,Péter,,1,M45,3.34,95,10
Dr. Müller,Balázs,,1,M45,3.34,95,10
Kovács,László,,1,M45,3.34,95,10
Pavlovics,Gábor,,1,M45,3.34,95,10
Tonkovic,Zdravko,,2,M45,3.34,95,10
Crnčan,Siniša,133:08,3,M45,3.34,95,10
Štambuk,Dario,22:41,0,M55,2.72,80,11
Lovrec,Nenad,24:19,0,M55,2.72,80,11
Fehér,Mihály,25:02,0,M55,2.72,80,11
Arató,Csongor,28:36,0,M55,2.72,80,11
Horvat,Saša,30:21,0,M55,2.72,80,11
Németh,Ferenc,30:37,0,M55,2.72,80,11
Lovas,Zoltán,31:25,0,M55,2.72,80,11
Nagy,Balázs,32:21,0,M55,2.72,80,11
Jelić,Mladen,39:49,0,M55,2.72,80,11
Cindrić,Ivica,43:13,0,M55,2.72,80,11
Angster,Gábor,,1,M55,2.72,80,11
Sladič,Roman,,1,M55,2.72,80,11
Tóth,Jenő,,1,M55,2.72,80,11
Pongrac,Ivan,26:42,0,M65,2.69,80,11
Belaj,Željko,33:04,0,M65,2.69,80,11
Fluck,István,37:46,0,M65,2.69,80,11
Varga,Gyorgy,38:26,0,M65,2.69,80,11
Ijjász,István,58:09,0,M65,2.69,80,11
Čepelak,Radovan,60:34,0,M65,2.69,80,11
Turkalj,Milan,75:37,0,M65,2.69,80,11
Id. Dr. Pavlovics,György,,1,M65,2.69,80,11
Modrić,Matija,27:15,0,OPEN LONG,2.72,80,11
Svoren,Luka,29:17,0,OPEN LONG,2.72,80,11
Kacin,Vojko,31:45,0,OPEN LONG,2.72,80,11
Arambašić,Miloš,33:27,0,OPEN LONG,2.72,80,11
Zoričić,Mate,39:25,0,OPEN LONG,2.72,80,11
Cindrić,Antonio,39:35,0,OPEN LONG,2.72,80,11
Martinović,Antonio,39:48,0,OPEN LONG,2.72,80,11
Labaš,Predrag,42:19,0,OPEN LONG,2.72,80,11
Zovak,Bruno,44:18,0,OPEN LONG,2.72,80,11
Srebačić,Ana,57:08,0,OPEN LONG,2.72,80,11
Kos,Ines,65:41,0,OPEN LONG,2.72,80,11
Kriz,Pavel,,1,OPEN LONG,2.72,80,11
Krizova,Zdenka,,1,OPEN LONG,2.72,80,11
Radeljić,Antonija,,1,OPEN LONG,2.72,80,11
Melmajer,Nastasia,,1,OPEN LONG,2.72,80,11
Kuzmanić,Niko,,1,OPEN LONG,2.72,80,11
Burđalez,Nikolina,,1,OPEN LONG,2.72,80,11
Balaban,Ana,,1,OPEN LONG,2.72,80,11
Magušić,Franjo,,1,OPEN LONG,2.72,80,11
Krakter,Dániel,,1,OPEN LONG,2.72,80,11
Pavlovics,Balázs,,1,OPEN LONG,2.72,80,11
Logarić,Tea,,1,OPEN LONG,2.72,80,11
Benzić,Karin,,1,OPEN LONG,2.72,80,11
Arambašić,Miloš,,1,OPEN LONG,2.72,80,11
Oklopčić,Suzana,,1,OPEN LONG,2.72,80,11
Svirčić,Katarina,,1,OPEN LONG,2.72,80,11
