Surname;First name;Club;Time;Classifier;Short;km;m;Course controls;;
;;;;;;;;;;
Vukeliæ;Juraj;OK Maksimir;27:59:00;0;M12;2150;65;6;;2150
Strmeèki;Vibor;OK Maksimir;32:04:00;0;M12;2150;65;6;;
Meštroviæ;Martin;OK Kapela;54:32:00;0;M12;2150;65;6;;
Boban;Jakov;OK Ivan Merz;71:55:00;0;M12;2150;65;6;;
Juraè;Petar;OK Vihor;79:26:00;0;M12;2150;65;6;;
Valpotiæ;Borna;OK Kapela;62:26:00;3;M12;2150;65;6;;
Hribar;Dominik;OK Brežice;;1;M12;2150;65;6;;
Smital;Mika;OK Vihor;103:19:00;3;M12;2150;65;6;;
;;;;;;;;;;
Jevševar;Martin;OK Brežice;35:13:00;0;M14;2900;125;8;;2900
Nejc;Zorko;OK Brežice;66:02:00;0;M14;2900;125;8;;
Juraè;Marko;OK Vihor;71:32:00;0;M14;2900;125;8;;
Kuzmaniæ;Borna;OK Japetic;93:50:00;3;M14;2900;125;8;;
Željem;Bepo;OK Kapela;;1;M14;2900;125;8;;
Omerèiæ;Alan;OK Maksimir;;1;M14;2900;125;8;;
;;;;;;;;;;
Salopek;Tihon;OK Ris Delnice;63:37:00;0;M16;4660;210;9;;4660
Kocijan;Luka;Orijentacijski klub Varaždin;123:23:00;0;M16;4660;210;9;;
Krajnoviæ;Luka;OK Vihor;;2;M16;4660;210;9;;
Smital;Tomo;OK Vihor;;2;M16;4660;210;9;;
;;;;;;;;;;
Štambuk;Andro Vladimir;OK Ivan Merz;69:05:00;0;M20;6860;330;13;;6860
Gobec;Jan;OK Vihor;78:30:00;0;M20;6860;330;13;;
Kukec;Jura;OK Vihor;98:55:00;0;M20;6860;330;13;;
Cvetkoviæ;Filip;OK Japetic;101:16:00;0;M20;6860;330;13;;
Težak;Karlo;OK Vihor;104:52:00;0;M20;6860;330;13;;
Puhariæ;Roko;OK Japetic;115:30:00;0;M20;6860;330;13;;
;;;;;;;;;;
Štanfel;Matjaž;OK Sova;81:51:00;0;M21A;12210;520;24;;12210
Razum;Matija;OK Japetic;89:56:00;0;M21A;12210;520;24;;
Hribar;Andraž;OK Brežice;93:57:00;0;M21A;12210;520;24;;
Jevševar;Bojan;OK Brežice;127:50:00;0;M21A;12210;520;24;;
Èapeta;Davor;OK Kapela;131:37:00;0;M21A;12210;520;24;;
Gadžiæ;Dražen;OK Kapela;140:22:00;0;M21A;12210;520;24;;
Filetin;Luka;OK Kapela;140:35:00;0;M21A;12210;520;24;;
Varnica;Tomislav;OK Vihor;143:02:00;0;M21A;12210;520;24;;
Horvat;Lobel;OK Maksimir;145:21:00;0;M21A;12210;520;24;;
Suhina;Vanja;OK Kapela;162:59:00;0;M21A;12210;520;24;;
Berkoviæ;Vedran;OK Kapela;169:55:00;0;M21A;12210;520;24;;
Šeperiæ-Grdiša;Ivan;OK Jelen;175:11:00;0;M21A;12210;520;24;;
Maroviæ;Goran;OK Vihor;208:23:00;0;M21A;12210;520;24;;
Buhin;Alan;;254:35:00;0;M21A;12210;520;24;;
Muhtiæ;Siniša;OK Bjelovar;172:06:00;3;M21A;12210;520;24;;
Ivkoviæ;Luka;OK Sova;;1;M21A;12210;520;24;;
Kaldi;Vedran;OK Kapela;;2;M21A;12210;520;24;;
;;;;;;;;;;
Tkalec;Vladimir;OK Medjimurje;46:45:00;0;M21B;4800;170;7;;
Jeliæ;Ivor;OK Kapela;47:08:00;0;M21B;4800;170;7;;
Bubliæ;Ivan;OK Kapela;51:17:00;0;M21B;4800;170;7;;
Turkalj;Marijan;OK Vihor;56:26:00;0;M21B;4800;170;7;;
Maðariæ;Predrag;OK Ivan Merz;60:18:00;0;M21B;4800;170;7;;
Mulig;Dragutin;OK Jelen;64:20:00;0;M21B;4800;170;7;;
Lah;Siniša;Orijentacijski klub Varaždin;72:59:00;0;M21B;4800;170;7;;
Selandari;Alberto;OK Vihor;109:58:00;0;M21B;4800;170;7;;
Truhlaž;Miodrag;OK Sova;;1;M21B;4800;170;7;;
Papa;Vedran;OK Jelen;;1;M21B;4800;170;7;;
;;;;;;;;;;
Ocvirk;Edi;OK Japetic;58:07:00;0;M35;7300;330;13;;
Deliæ;Petar;OK Maksimir;61:09:00;0;M35;7300;330;13;;
Kaniški;Tomislav;OK Maksimir;61:49:00;0;M35;7300;330;13;;
Salopek;Tihomir;OK Ris Delnice;62:27:00;0;M35;7300;330;13;;
Orehoci;Robert;OK Bjelovar;65:11:00;0;M35;7300;330;13;;
Pongrac;Branimir;OK Japetic;68:38:00;0;M35;7300;330;13;;
Fabijaniæ;Daniel;OK Jelen;75:47:00;0;M35;7300;330;13;;
Košèak;Željko;OK Medjimurje;93:52:00;0;M35;7300;330;13;;
Meštroviæ;Tomislav;OK Kapela;105:05:00;0;M35;7300;330;13;;
Draušnik;Ivan;OK Bjelovar;107:05:00;0;M35;7300;330;13;;
Leovac;Josip;OK Japetic;119:34:00;0;M35;7300;330;13;;
Šantiæ;Domagoj;OK Bjelovar;128:13:00;0;M35;7300;330;13;;
Stankovski;Dalibor;OK Jelen;;1;M35;7300;330;13;;
;;;;;;;;;;
Gobec;Damir;OK Vihor;52:10:00;0;M45;5580;280;11;;
Bogoviæ;Marijan;OK Jelen;60:47:00;0;M45;5580;280;11;;
Vukeliæ;Bojan;OK Maksimir;64:43:00;0;M45;5580;280;11;;
Horjan;Zdenko;OK Vihor;74:38:00;0;M45;5580;280;11;;
Peniæ;Ivan Ivo;OK Kapela;75:57:00;0;M45;5580;280;11;;
Strmeèki;Petar;OK Maksimir;77:06:00;0;M45;5580;280;11;;
Tutiæ;Dražen;OK Vihor;81:41:00;0;M45;5580;280;11;;
Trivunoviæ;Vladimir;OK Sova;84:12:00;0;M45;5580;280;11;;
Špoljar;Krešo;OK Kapela;86:08:00;0;M45;5580;280;11;;
Priher;Miroslav;OK Ivan Merz;94:21:00;0;M45;5580;280;11;;
Marekoviæ;Siniša;OK Vihor;95:13:00;0;M45;5580;280;11;;
Šaflin;Zdravko;OK Jelen;98:26:00;0;M45;5580;280;11;;
Pavlin;Domagoj;OK Vihor;117:49:00;0;M45;5580;280;11;;
Tonkovic;Zdravko;OK Kapela;166:26:00;0;M45;5580;280;11;;
Suèiæ;Valter;OK Vihor;;2;M45;5580;280;11;;
Merunka;Darko;OK Maksimir;;2;M45;5580;280;11;;
;;;;;;;;;;
Štambuk;Dario;OK Ivan Merz;41:23:00;0;M55;3970;165;8;;
Lovrec;Nenad;OK Vihor;42:26:00;0;M55;3970;165;8;;
Raškaj;Darko;OK Kapela;51:56:00;0;M55;3970;165;8;;
Jeliæ;Mladen;OK Kapela;67:36:00;0;M55;3970;165;8;;
Jankoviæ;Dragan;OK Vihor;68:32:00;0;M55;3970;165;8;;
Boban;Mile;OK Ivan Merz;71:48:00;0;M55;3970;165;8;;
Besten;Miroslav;OK Jelen;77:01:00;0;M55;3970;165;8;;
