Surname;First name;Club;Time;Classifier;Short;km;m;Course controls;
Gojmerac;Luka;OK Ivan Merz;10:28;0;M12;1770;5;12;1770
Vukeliæ;Juraj;OK Maksimir;11:18;0;M12;1770;5;12;
Strmeèki;Vibor;OK Maksimir;14:59;0;M12;1770;5;12;
Valpotiæ;Borna;OK Kapela;15:51;0;M12;1770;5;12;
Boban;Jakov;OK Ivan Merz;21:35;0;M12;1770;5;12;
Meštroviæ;Martin;OK Kapela;23:38;0;M12;1770;5;12;
Percela;David;OK Vihor;56:28;0;M12;1770;5;12;
;;;;;;;;;
Pevec;Ozren;Orijentacijski klub Varaždin;15:40;0;M16;2260;8;16;2260
Krajnoviæ;Luka;OK Vihor;15:51;0;M16;2260;8;16;
Kocijan;Luka;Orijentacijski klub Varaždin;16:41;0;M16;2260;8;16;
Omerèiæ;Alan;OK Maksimir;16:43;0;M16;2260;8;16;
Kuzmaniæ;Borna;OK Japetic;22:59;0;M16;2260;8;16;
;;;;;;;;;
Gobec;Jan;OK Vihor;14:57;0;M20;3410;10;21;3410
Težak;Karlo;OK Vihor;15:52;0;M20;3410;10;21;
Kukec;Jura;OK Vihor;17:15;0;M20;3410;10;21;
Cvetkoviæ;Filip;OK Japetic;18:10;0;M20;3410;10;21;
Puhariæ;Roko;OK Japetic;18:30;0;M20;3410;10;21;
Štambuk;Andro Vladimir;OK Ivan Merz;;1;M20;3410;10;21;
Kodba;Tin;OK Vihor;;1;M20;3410;10;21;
;;;;;;;;;
Razum;Matija;OK Japetic;12:41;0;M21;3410;10;21;
Piltaver;Jaka;OK Brežice;14:34;0;M21;3410;10;21;
Filetin;Luka;OK Kapela;15:47;0;M21;3410;10;21;
Bijeliæ;Vedran;OK Bjelovar;15:59;0;M21;3410;10;21;
Varnica;Tomislav;OK Vihor;16:14;0;M21;3410;10;21;
Kaldi;Vedran;OK Kapela;16:22;0;M21;3410;10;21;
Gadžiæ;Dražen;OK Kapela;17:49;0;M21;3410;10;21;
Jeliæ;Ivor;OK Kapela;18:04;0;M21;3410;10;21;
Ferreira;Fausto;Clube de Aventura da Bairrada;19:28;0;M21;3410;10;21;
Turkalj;Marijan;OK Vihor;20:53;0;M21;3410;10;21;
Maroviæ;Goran;OK Vihor;22:59;0;M21;3410;10;21;
;;;;;;;;;
Deliæ;Petar;OK Maksimir;13:26;0;M35;2770;8;19;2770
Salopek;Tihomir;OK Ris Delnice;13:28;0;M35;2770;8;19;
Orehoci;Robert;OK Bjelovar;13:32;0;M35;2770;8;19;
Ocvirk;Edi;OK Japetic;13:36;0;M35;2770;8;19;
Canjuga;Krunoslav;Orijentacijski klub Varaždin;14:12;0;M35;2770;8;19;
Hainž;Miroslav;OK Ivan Merz;14:36;0;M35;2770;8;19;
Pust;Tomaž;Orientacijski klub Komenda;15:16;0;M35;2770;8;19;
Pongrac;Branimir;OK Japetic;15:33;0;M35;2770;8;19;
Draušnik;Ivan;OK Bjelovar;16:09;0;M35;2770;8;19;
Gojmerac;Tomislav;OK Ivan Merz;16:49;0;M35;2770;8;19;
Fabijaniæ;Daniel;OK Jelen;17:01;0;M35;2770;8;19;
Meštroviæ;Tomislav;OK Kapela;17:22;0;M35;2770;8;19;
Markulinèiæ;Predrag;OK Meðimurje;17:28;0;M35;2770;8;19;
Vukeliæ;Bojan;OK Maksimir;17:33;0;M35;2770;8;19;
Bubliæ;Ivan;OK Kapela;18:25;0;M35;2770;8;19;
Lah;Siniša;Orijentacijski klub Varaždin;19:56;0;M35;2770;8;19;
Maðariæ;Predrag;OK Ivan Merz;20:46;0;M35;2770;8;19;
Stankovski;Dalibor;OK Jelen;21:12;0;M35;2770;8;19;
Šantiæ;Domagoj;OK Bjelovar;23:00;0;M35;2770;8;19;
Tonkoviæ;Zdravko;OK Kapela;53:43;0;M35;2770;8;19;
;;;;;;;;;
Lovrec;Nenad;OK Vihor;12:10;0;M50;2180;10;14;2180
Štambuk;Dario;OK Ivan Merz;12:17;0;M50;2180;10;14;
Strmeèki;Petar;OK Maksimir;12:54;0;M50;2180;10;14;
Priher;Miroslav;OK Ivan Merz;13:00;0;M50;2180;10;14;
Bogoviæ;Marijan;OK Jelen;13:11;0;M50;2180;10;14;
Merunka;Darko;OK Maksimir;13:22;0;M50;2180;10;14;
Horvat;Saša;OK Maksimir;14:12;0;M50;2180;10;14;
Špoljar;Krešo;OK Kapela;15:16;0;M50;2180;10;14;
Boban;Mile;OK Ivan Merz;15:41;0;M50;2180;10;14;
Besten;Miroslav;OK Jelen;16:14;0;M50;2180;10;14;
Sladiè;Roman;Škofjeloški orientacijski klub;18:34;0;M50;2180;10;14;
Jeliæ;Mladen;OK Kapela;20:19;0;M50;2180;10;14;
Turkalj;Milan;OK Ivan Merz;21:31;0;M50;2180;10;14;
Raškaj;Darko;OK Kapela;;1;M50;2180;10;14;
Jankoviæ;Dragan;OK Vihor;;1;M50;2180;10;14;
;;;;;;;;;
Stojèevski;Loreta;OK Brežice;18:03;0;OPEN;2180;10;14;
Džapo;Tomislav;OK Kapela;19:56;0;OPEN;2180;10;14;
Došen;Tijana;OK Kapela;19:59;0;OPEN;2180;10;14;
Krkiæ;Aida;OK Kapela;20:53;0;OPEN;2180;10;14;
Liebl;Erna;OK Vihor;21:23;0;OPEN;2180;10;14;
Hovorka;Vid;OK Japetic;21:53;0;OPEN;2180;10;14;
