HVM,,,,,,,,,,,,,
1.,Dominik Klasić ,HVM ,OK Maksimir,CRO,  ,54:34 ,(1),,94:36 ,(1),,149:10 ,
,Karlo Smontara ,HVM ,HV,CRO,  ,70:18 ,(2),,,,,disq ,
,Siniša Muhtić ,HVM ,HV,CRO,  ,70:48 ,(3),,dns ,,,disq ,
,Andrija Golubić ,HVM ,HV,CRO,  ,73:43 ,(4),,mp ,,,disq ,
,Emanuel Baković ,HVM ,HV,CRO,  ,dns ,,,dns ,,,disq ,
,Jozo Projić ,HVM ,HV,CRO,  ,dns ,,,dns ,,,disq ,
,Zdravko Šaflin ,HVM ,HV,CRO,  ,83:31 ,(5),,,,,disq ,
,Dejan Vuk ,HVM ,HV,CRO,  ,,,,154:39 ,(3),,disq ,
,Rikardo Štih ,HVM ,HV,CRO,  ,,,,185:52 ,(5),,disq ,
,Nikola Dubovečak ,HVM ,HV,CRO,  ,,,,158:35 ,(4),,disq ,
,Josip Višnjević ,HVM ,HV,CRO,  ,,,,189:50 ,(6),,disq ,
,Nikola Petković ,HVM ,OK Medjimurje,CRO,  ,,,,106:27 ,(2),,disq ,
,,,,,,,,,,,,,
M12,,,,,,,,,,,,,
1.,Martin Meštrović ,M12 ,OK Kapela,CRO,  ,21:22 ,(1),,33:17 ,(1),,54:39 ,
2.,Karlo Lesjak ,M12 ,OK Japetic,CRO,  ,27:19 ,(2),,41:16 ,(2),,68:35 ,+13:56
3.,Adam Anadolac ,M12 ,Orijentacijski klub Varaždin,CRO,  ,32:20 ,(4),,64:24 ,(3),,96:44 ,+42:05
4.,Filip Anadolac ,M12 ,Orijentacijski klub Varaždin,CRO,  ,41:46 ,(5),,67:04 ,(4),,108:50 ,+54:11
5.,Marko Tanković ,M12 ,OK Jelen,CRO,  ,30:30 ,(3),,83:08 ,(7),,113:38 ,+58:59
6.,Marin Tanković ,M12 ,OK Jelen,CRO,  ,67:46 ,(7),,71:08 ,(5),,138:54 ,+84:15
,Fran Juriša ,M12 ,OK Japetic,CRO,  ,dns ,,,dns ,,,disq ,
,Lovro Pinjušić ,M12 ,OK Japetic,CRO,  ,52:23 ,(6),,dns ,,,disq ,
,Jure Rako ,M12 ,OK Vihor,CRO,  ,dns ,,,84:16 ,(8),,disq ,
,Vjeko Mazić ,M12 ,OK Vihor,CRO,  ,,,,95:35 ,(9),,disq ,
,Lovre Mazić ,M12 ,OK Vihor,CRO,  ,,,,mp ,,,disq ,
,Jakov Boban ,M12 ,OK Ivan Merz,CRO,  ,dns ,,,72:42 ,(6),,disq ,
,,,,,,,,,,,,,
M14,,,,,,,,,,,,,
1.,Patrick Milković ,M14 ,OK Japetic,CRO,  ,40:30 ,(1),,68:55 ,(2),,109:25 ,
2.,Teo Mahović ,M14 ,OK Japetic,CRO,  ,50:14 ,(2),,92:57 ,(5),,143:11 ,+33:46
,Luka Gojmerac ,M14 ,OK Ivan Merz,CRO,  ,,,,54:33 ,(1),,disq ,
,Noa Kelc ,M14 ,OK Jelen,CRO,  ,,,,dns ,,,disq ,
,Gabrijel Solenički ,M14 ,OK Jelen,CRO,  ,,,,72:42 ,(3),,disq ,
,Petar Jurač ,M14 ,OK Vihor,CRO,  ,,,,90:24 ,(4),,disq ,
